Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Ticker,Momentum_6m,Momentum_12m,Volatilidade,PL_Rank,PVP_Rank,ROIC_Rank,Mom6m_Rank,DY_Rank,Vol_Rank,Ranking_Combinado
BEEF3,6.97,-2.72,-8.84,0.124,0.0,0.1,0.54,1.79,-0.24,8.39,6.54,6.95,-4.59,1.48,10.99,325.66,56985800.0,-478639000.0,-62.85,11.88,BEEF3,25.58557748930037,14.449911585467067,43.78411770069319,34.0,1.0,83.0,17.0,170.0,143.0,333.0
VLID3,25.11,5.39,1.14,0.946,13.35,0.698,2.03,5.25,4.77,5.21,4.1,18.04,17.48,2.88,18.2,21.22,11416000.0,1794710000.0,0.33,2.55,VLID3,25.506470963011484,55.7007304700126,45.730555970334756,79.0,121.0,26.0,18.0,16.0,150.0,340.0
ISAE4,22.17,4.18,0.74,1.834,10.65,0.337,3.12,3.23,-0.96,5.41,5.37,56.81,44.6,2.43,11.39,17.75,54693800.0,19714600000.0,0.67,17.96,ISAE4,-2.7600305921788526,-4.301075888524397,20.447442676112455,65.0,61.0,75.0,96.0,27.0,16.0,356.0
AURA33,36.19,-52.77,5.69,2.44,2.19,1.175,9.2,6.59,-2.71,7.49,7.49,37.0,-4.62,1.55,27.04,-10.79,9660800.0,1380600000.0,1.99,13.82,AURA33,75.40437152407995,198.59890193116115,40.83238972906173,5.0,213.0,10.0,3.0,145.0,133.0,375.0
LAVV3,9.54,5.44,1.25,1.203,10.56,0.539,0.89,5.58,2.03,5.21,5.2,21.58,25.33,4.93,12.79,23.05,5168270.0,1485860000.0,0.44,39.31,LAVV3,27.316067065280226,24.017573737681055,28.157001832508406,82.0,141.0,61.0,15.0,28.0,73.0,380.0
SAPR3,5.44,5.32,0.76,1.2,5.28,0.401,5.69,3.55,-1.29,5.64,4.54,33.77,22.57,1.78,12.59,14.27,1142040.0,10828700000.0,0.61,9.43,SAPR3,4.67224080298243,15.071729530513455,26.861520040195153,78.0,66.0,64.0,64.0,98.0,61.0,383.5
SAPR11,27.59,5.4,0.77,1.218,5.62,0.407,5.77,3.61,-1.31,5.69,4.58,33.77,22.57,1.78,12.59,14.27,23340300.0,10828700000.0,0.61,9.43,SAPR11,2.0033408052965385,11.590112347623528,24.510669920059783,80.0,70.0,64.0,77.0,95.0,41.0,391.0
TGMA3,34.14,8.35,2.45,1.078,7.56,1.695,5.01,6.58,7.39,6.39,5.94,16.39,12.95,2.71,33.4,29.28,8448390.0,921409000.0,0.19,20.96,TGMA3,34.539836826628736,55.30058309758827,25.31840545523019,133.0,190.0,5.0,10.0,61.0,50.0,396.0
SAPR4,5.53,5.41,0.77,1.22,5.71,0.407,5.78,3.61,-1.31,5.7,4.59,33.77,22.57,1.78,12.59,14.27,8563410.0,10828700000.0,0.61,9.43,SAPR4,0.7994859398320786,10.269272934552042,26.092463471891786,81.0,70.0,64.0,80.0,92.0,57.0,401.5
CMIG4,10.11,4.07,1.06,0.727,10.26,0.484,-15.12,4.04,-1.44,5.44,4.56,17.98,17.88,0.86,13.14,26.0,160118000.0,27377800000.0,0.45,10.56,CMIG4,-5.692149821790049,14.852203302350663,24.8458847357977,64.0,106.0,56.0,110.0,32.0,44.0,402.0
CSMG3,19.75,5.7,0.93,0.953,12.2,0.484,10.24,3.49,-1.49,5.95,4.33,27.33,16.72,1.44,15.02,16.36,44485400.0,8048230000.0,0.76,10.57,CSMG3,-6.297241345671889,2.506520818904767,29.150735363980377,86.0,94.0,42.0,115.0,21.0,79.0,408.0
NEOE3,20.47,6.84,0.76,0.507,3.29,0.227,5.62,2.35,-0.48,6.59,5.18,21.56,7.52,1.22,10.82,11.14,24805100.0,32638000000.0,1.61,9.19,NEOE3,8.952308457919521,8.050289884575722,20.916666447639784,98.0,66.0,85.0,51.0,126.0,17.0,414.0
TIMS3,17.27,0.0,0.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128858000.0,0.0,0.0,12.11,TIMS3,10.856302407783701,10.710387210766935,26.515419289010257,51.0,10.0,181.0,44.0,36.0,59.0,424.0
PFRM3,7.0,7.56,0.67,0.085,8.21,0.154,0.84,2.91,-83.95,4.82,3.07,2.93,1.21,1.34,9.67,8.79,1820570.0,1303100000.0,0.61,16.57,PFRM3,27.308466201570745,25.012733274829667,38.42717769469266,117.0,51.0,101.0,16.0,56.0,128.0,427.5
GRND3,5.58,6.85,1.25,1.915,7.34,1.119,1.93,9.84,1.95,7.74,6.84,19.45,27.97,7.1,15.65,18.19,9657520.0,4040950000.0,0.02,7.15,GRND3,5.107039421063342,-2.372341877523887,26.522714030436923,100.0,141.0,41.0,62.0,66.0,60.0,427.5
