Price,Close,High,Low,Open,Volume
Ticker,AMER3.SA,AMER3.SA,AMER3.SA,AMER3.SA,AMER3.SA
Date,,,,,
2024-04-11,56.0,58.0,55.0,55.0,152785
2024-04-12,53.0,56.0,53.0,56.0,157524
2024-04-15,50.0,54.0,50.0,53.0,226432
2024-04-16,52.0,54.0,49.0,50.0,278741
2024-04-17,53.0,56.0,52.0,53.0,233131
2024-04-18,52.0,54.0,52.0,54.0,103447
2024-04-19,52.0,55.0,51.0,52.0,184591
2024-04-22,53.0,54.0,52.0,52.0,42072
2024-04-23,52.0,54.0,51.0,53.0,148023
2024-04-24,53.0,55.0,52.0,53.0,227516
2024-04-25,55.0,57.0,53.0,53.0,293603
2024-04-26,56.0,59.0,56.0,56.0,230827
2024-04-29,55.0,57.0,55.0,56.0,100116
2024-04-30,56.0,58.0,54.0,55.0,162229
2024-05-02,56.0,58.0,56.0,57.0,121640
2024-05-03,54.0,58.0,54.0,57.0,215430
2024-05-06,54.0,55.0,54.0,55.0,39200
2024-05-07,54.0,56.0,54.0,55.0,72801
2024-05-08,54.0,55.0,53.0,54.0,78076
2024-05-09,53.0,54.0,53.0,54.0,92059
2024-05-10,53.0,55.0,53.0,54.0,108582
2024-05-13,53.0,54.0,53.0,53.0,51978
2024-05-14,54.0,54.0,53.0,53.0,38550
2024-05-15,53.0,56.0,53.0,53.0,161223
2024-05-16,53.0,55.0,53.0,54.0,70777
2024-05-17,53.0,54.0,53.0,53.0,46369
2024-05-20,53.0,54.0,52.0,53.0,60172
2024-05-21,53.0,55.0,53.0,54.0,96311
2024-05-22,53.0,56.0,53.0,54.0,221989
2024-05-23,52.0,55.0,51.0,53.0,196335
2024-05-24,55.0,55.0,51.0,52.0,261757
2024-05-27,55.0,56.0,53.0,55.0,218484
2024-05-28,53.0,55.0,53.0,55.0,208717
2024-05-29,52.0,53.0,52.0,53.0,99314
2024-05-31,46.0,53.0,46.0,52.0,527205
2024-06-03,41.0,47.0,41.0,46.0,352230
2024-06-04,36.0,41.0,34.0,41.0,609843
2024-06-05,37.0,39.0,36.0,37.0,131024
2024-06-06,37.0,39.0,36.0,38.0,152524
2024-06-07,34.0,37.0,34.0,37.0,200611
2024-06-10,34.0,35.0,34.0,35.0,81327
2024-06-11,36.0,36.0,34.0,35.0,131169
2024-06-12,36.0,37.0,35.0,36.0,112247
2024-06-13,39.0,45.0,35.0,36.0,534449
2024-06-14,40.0,41.0,38.0,40.0,153919
2024-06-17,43.0,44.0,38.0,39.0,212144
2024-06-18,42.0,45.0,41.0,42.0,112396
2024-06-19,41.0,43.0,41.0,43.0,91404
2024-06-20,40.0,43.0,39.0,42.0,202157
2024-06-21,40.0,41.0,39.0,40.0,42853
2024-06-24,41.0,44.0,40.0,41.0,149288
2024-06-25,41.0,43.0,39.0,42.0,153332
2024-06-26,40.0,42.0,39.0,40.0,152418
2024-06-27,40.0,41.0,39.0,41.0,103742
2024-06-28,39.0,40.0,38.0,40.0,153197
2024-07-01,40.0,41.0,38.0,39.0,157126
2024-07-02,39.0,41.0,39.0,41.0,121453
2024-07-03,39.0,42.0,39.0,40.0,177466
2024-07-04,40.0,42.0,39.0,40.0,198770
2024-07-05,45.0,49.0,40.0,40.0,455961
2024-07-08,50.0,50.0,46.0,46.0,330402
2024-07-09,69.0,69.0,50.0,50.0,789396
2024-07-10,76.0,88.0,73.0,75.0,1166067
2024-07-11,77.0,86.0,76.0,83.0,604023
2024-07-12,69.0,79.0,69.0,77.0,606811
2024-07-15,62.0,69.0,61.0,67.0,499488
2024-07-16,67.0,68.0,62.0,62.0,534443
2024-07-17,73.0,75.0,66.0,68.0,499315
2024-07-18,75.0,80.0,74.0,78.0,344486
2024-07-19,70.0,78.0,68.0,78.0,304549
2024-07-22,77.0,78.0,70.0,71.0,285159
2024-07-23,78.0,87.0,77.0,77.0,589037
2024-07-24,76.0,83.0,75.0,80.0,340915
2024-07-25,76.0,79.0,75.0,76.0,236161
2024-07-26,70.0,81.0,70.0,77.0,443849
2024-07-29,63.0,72.0,63.0,70.0,337289
2024-07-30,62.0,65.0,59.0,64.0,320885
2024-07-31,55.0,59.0,55.0,58.0,409293
2024-08-01,62.0,64.0,55.0,55.0,300111
2024-08-02,62.0,66.0,61.0,63.0,174215
2024-08-05,61.0,63.0,57.0,58.0,180688
2024-08-06,60.0,63.0,59.0,60.0,156177
2024-08-07,60.0,61.0,58.0,60.0,169086
2024-08-08,59.0,61.0,58.0,59.0,132268
2024-08-09,54.0,59.0,54.0,59.0,564501
2024-08-12,46.0,54.0,42.0,46.0,1381720
2024-08-13,41.0,46.0,41.0,44.0,1527385
2024-08-14,33.0,37.0,33.0,37.0,2674716
2024-08-15,14.0,16.0,9.0,10.0,14810648
2024-08-16,14.0,16.0,13.0,15.0,4495324
2024-08-19,10.0,15.0,9.0,14.0,8241221
2024-08-20,9.0,11.0,9.0,10.0,3074604
2024-08-21,8.0,10.0,7.0,9.0,5944135
2024-08-22,7.0,9.0,7.0,8.0,6164187
2024-08-23,6.0,8.0,5.0,7.0,8649618
2024-08-26,5.0,7.0,5.0,6.0,3816390
2024-08-27,7.0,7.650000095367432,5.400000095367432,5.400000095367432,14952800
2024-08-28,7.099999904632568,7.579999923706055,6.71999979019165,7.059999942779541,14433200
2024-08-29,6.0,7.329999923706055,6.0,7.090000152587891,22712100
2024-08-30,5.769999980926514,6.21999979019165,5.760000228881836,6.090000152587891,10839600
2024-09-02,6.980000019073486,7.25,5.769999980926514,5.769999980926514,17826600
2024-09-03,6.440000057220459,7.179999828338623,6.440000057220459,7.179999828338623,16102100
2024-09-04,6.510000228881836,6.940000057220459,6.5,6.699999809265137,10226900
2024-09-05,6.590000152587891,6.840000152587891,6.510000228881836,6.599999904632568,7262100
2024-09-06,6.639999866485596,7.139999866485596,6.590000152587891,6.639999866485596,8001600
2024-09-09,6.889999866485596,6.889999866485596,6.630000114440918,6.78000020980835,3911300
2024-09-10,6.579999923706055,7.050000190734863,6.53000020980835,6.949999809265137,13498400
2024-09-11,6.590000152587891,6.739999771118164,6.5,6.590000152587891,3635000
2024-09-12,6.639999866485596,6.739999771118164,6.559999942779541,6.619999885559082,2412200
2024-09-13,6.579999923706055,6.71999979019165,6.550000190734863,6.699999809265137,4628000
2024-09-16,6.630000114440918,6.690000057220459,6.53000020980835,6.590000152587891,2932300
2024-09-17,6.579999923706055,6.639999866485596,6.5,6.610000133514404,3359700
2024-09-18,6.519999980926514,6.610000133514404,6.480000019073486,6.570000171661377,2717400
2024-09-19,6.230000019073486,6.579999923706055,6.190000057220459,6.519999980926514,2418100
2024-09-20,5.78000020980835,6.28000020980835,5.699999809265137,6.21999979019165,3300900
2024-09-23,5.429999828338623,5.880000114440918,5.420000076293945,5.800000190734863,2491200
2024-09-24,5.550000190734863,5.639999866485596,5.449999809265137,5.550000190734863,2125600
2024-09-25,5.320000171661377,5.670000076293945,5.300000190734863,5.670000076293945,1962100
2024-09-26,5.150000095367432,5.360000133514404,5.090000152587891,5.300000190734863,2156100
2024-09-27,5.150000095367432,5.239999771118164,5.099999904632568,5.119999885559082,1594500
2024-09-30,4.650000095367432,5.170000076293945,4.650000095367432,5.119999885559082,3083000
2024-10-01,4.559999942779541,4.769999980926514,4.349999904632568,4.690000057220459,4233600
2024-10-02,4.460000038146973,4.650000095367432,4.440000057220459,4.619999885559082,1690400
2024-10-03,4.309999942779541,4.46999979019165,4.25,4.449999809265137,1548500
2024-10-04,4.329999923706055,4.380000114440918,4.210000038146973,4.300000190734863,1171600
2024-10-07,4.150000095367432,4.460000038146973,4.130000114440918,4.349999904632568,1265500
2024-10-08,4.039999961853027,4.119999885559082,4.0,4.070000171661377,1932500
2024-10-09,3.8399999141693115,4.010000228881836,3.799999952316284,4.0,2378700
2024-10-10,3.9700000286102295,3.9700000286102295,3.759999990463257,3.819999933242798,3109700
2024-10-11,4.159999847412109,4.170000076293945,3.9100000858306885,3.9700000286102295,2360900
2024-10-14,3.9700000286102295,4.159999847412109,3.9100000858306885,4.159999847412109,3552700
2024-10-15,3.880000114440918,4.019999980926514,3.819999933242798,3.990000009536743,2503700
2024-10-16,3.809999942779541,3.890000104904175,3.7799999713897705,3.880000114440918,1370700
2024-10-17,3.950000047683716,3.950000047683716,3.740000009536743,3.7899999618530273,1655400
2024-10-18,3.8499999046325684,3.940000057220459,3.8399999141693115,3.940000057220459,1269200
2024-10-21,3.869999885559082,3.940000057220459,3.8299999237060547,3.859999895095825,955200
2024-10-22,3.8399999141693115,3.9000000953674316,3.809999942779541,3.9000000953674316,2028300
2024-10-23,3.7699999809265137,3.8399999141693115,3.7699999809265137,3.8399999141693115,765400
2024-10-24,3.7799999713897705,3.7899999618530273,3.690000057220459,3.7899999618530273,1604100
2024-10-25,3.859999895095825,3.9100000858306885,3.7300000190734863,3.7300000190734863,1269500
2024-10-28,3.880000114440918,3.950000047683716,3.859999895095825,3.859999895095825,1792300
2024-10-29,3.859999895095825,3.930000066757202,3.8299999237060547,3.9000000953674316,527500
2024-10-30,3.880000114440918,4.110000133514404,3.8499999046325684,3.8499999046325684,4715900
2024-10-31,3.700000047683716,3.9000000953674316,3.700000047683716,3.890000104904175,2128000
2024-11-01,3.4800000190734863,3.740000009536743,3.450000047683716,3.7300000190734863,2929300
2024-11-04,3.5799999237060547,3.619999885559082,3.4800000190734863,3.5299999713897705,6040800
2024-11-05,3.4000000953674316,3.569999933242798,3.4000000953674316,3.569999933242798,11519900
2024-11-06,3.2699999809265137,3.4000000953674316,3.259999990463257,3.380000114440918,7421100
2024-11-07,3.240000009536743,3.359999895095825,3.2200000286102295,3.259999990463257,11846600
2024-11-08,3.130000114440918,3.240000009536743,3.069999933242798,3.2300000190734863,14608700
2024-11-11,3.4700000286102295,3.4700000286102295,3.119999885559082,3.1500000953674316,17199000
2024-11-12,3.3399999141693115,3.5199999809265137,3.25,3.390000104904175,16228200
2024-11-13,3.359999895095825,3.390000104904175,3.1700000762939453,3.299999952316284,16912900
2024-11-14,9.40999984741211,9.9399995803833,3.740000009536743,3.990000009536743,56983700
2024-11-18,9.520000457763672,18.139999389648438,9.520000457763672,12.0,23281500
2024-11-19,9.100000381469727,11.569999694824219,9.100000381469727,10.319999694824219,13515100
2024-11-21,7.579999923706055,9.350000381469727,7.420000076293945,8.960000038146973,12387500
2024-11-22,8.699999809265137,9.15999984741211,7.429999828338623,7.829999923706055,13145200
2024-11-25,8.899999618530273,9.989999771118164,8.899999618530273,9.989999771118164,6001100
