Price,Close,High,Low,Open,Volume
Ticker,CEDO4.SA,CEDO4.SA,CEDO4.SA,CEDO4.SA,CEDO4.SA
Date,,,,,
2024-04-11,29.600000381469727,29.600000381469727,27.3799991607666,27.3799991607666,5100
2024-04-12,27.5,29.600000381469727,27.5,29.600000381469727,1000
2024-04-15,27.25,27.5,27.25,27.5,2000
2024-04-16,27.239999771118164,27.239999771118164,27.239999771118164,27.239999771118164,300
2024-04-17,27.489999771118164,27.489999771118164,26.0,27.239999771118164,800
2024-04-18,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,0
2024-04-19,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,0
2024-04-22,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,0
2024-04-23,27.5,27.5,27.5,27.5,100
2024-04-24,27.489999771118164,28.5,27.489999771118164,28.5,600
2024-04-25,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,2500
2024-04-26,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,0
2024-04-29,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,0
2024-04-30,27.479999542236328,27.489999771118164,27.479999542236328,27.489999771118164,800
2024-05-02,27.0,27.479999542236328,26.989999771118164,27.479999542236328,3800
2024-05-03,27.020000457763672,27.600000381469727,26.299999237060547,27.5,1300
2024-05-06,29.0,29.979999542236328,27.600000381469727,27.600000381469727,1600
2024-05-07,29.0,29.0,29.0,29.0,0
2024-05-08,29.0,29.0,29.0,29.0,0
2024-05-09,26.5,26.5,26.5,26.5,400
2024-05-10,26.5,26.5,26.5,26.5,0
2024-05-13,26.5,26.5,26.5,26.5,100
2024-05-14,26.5,26.5,26.5,26.5,0
2024-05-15,26.520000457763672,29.8799991607666,26.520000457763672,29.8799991607666,5100
2024-05-16,26.520000457763672,26.520000457763672,26.520000457763672,26.520000457763672,0
2024-05-17,26.0,26.520000457763672,26.0,26.520000457763672,300
2024-05-20,26.0,26.0,25.989999771118164,26.0,1200
2024-05-21,26.979999542236328,26.979999542236328,26.0,26.0,4400
2024-05-22,26.979999542236328,26.979999542236328,26.979999542236328,26.979999542236328,0
2024-05-23,26.979999542236328,26.979999542236328,26.979999542236328,26.979999542236328,0
2024-05-24,26.979999542236328,26.979999542236328,26.979999542236328,26.979999542236328,0
2024-05-27,27.989999771118164,27.989999771118164,26.979999542236328,26.979999542236328,500
2024-05-28,27.100000381469727,28.0,27.100000381469727,28.0,700
2024-05-29,27.489999771118164,27.989999771118164,27.170000076293945,27.920000076293945,3500
2024-05-31,27.489999771118164,27.489999771118164,27.489999771118164,27.489999771118164,0
2024-06-03,27.940000534057617,27.959999084472656,26.0,26.0,1400
2024-06-04,27.940000534057617,27.940000534057617,27.940000534057617,27.940000534057617,0
2024-06-05,26.100000381469727,26.25,26.100000381469727,26.209999084472656,500
2024-06-06,26.100000381469727,26.100000381469727,26.100000381469727,26.100000381469727,0
2024-06-07,26.100000381469727,26.100000381469727,26.100000381469727,26.100000381469727,100
2024-06-10,26.100000381469727,26.100000381469727,26.100000381469727,26.100000381469727,0
2024-06-11,26.100000381469727,26.100000381469727,26.100000381469727,26.100000381469727,200
2024-06-12,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,200
2024-06-13,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,0
2024-06-14,26.0,26.0,26.0,26.0,1000
2024-06-17,26.0,26.0,26.0,26.0,0
2024-06-18,26.0,26.0,26.0,26.0,4300
2024-06-19,24.809999465942383,25.0,24.809999465942383,25.0,200
2024-06-20,23.219999313354492,23.540000915527344,23.219999313354492,23.219999313354492,600
2024-06-21,23.219999313354492,23.219999313354492,23.219999313354492,23.219999313354492,0
2024-06-24,23.219999313354492,23.219999313354492,23.219999313354492,23.219999313354492,0
2024-06-25,23.219999313354492,23.219999313354492,23.219999313354492,23.219999313354492,0
2024-06-26,23.520000457763672,23.989999771118164,23.219999313354492,23.219999313354492,3400
