Price,Close,High,Low,Open,Volume
Ticker,CEED4.SA,CEED4.SA,CEED4.SA,CEED4.SA,CEED4.SA
Date,,,,,
2024-04-11,25.0,25.0,25.0,25.0,100
2024-04-12,25.0,25.0,25.0,25.0,0
2024-04-15,25.0,25.0,25.0,25.0,0
2024-04-16,25.0,25.0,25.0,25.0,0
2024-04-17,25.0,25.0,25.0,25.0,0
2024-04-18,25.0,25.0,25.0,25.0,0
2024-04-19,25.0,25.0,25.0,25.0,0
2024-04-22,25.0,25.0,25.0,25.0,0
2024-04-23,25.0,25.0,25.0,25.0,0
2024-04-24,25.0,25.0,25.0,25.0,0
2024-04-25,25.0,25.0,25.0,25.0,0
2024-04-26,25.0,25.0,25.0,25.0,0
2024-04-29,25.0,25.0,25.0,25.0,0
2024-04-30,25.0,25.0,25.0,25.0,0
2024-05-02,25.0,25.0,25.0,25.0,0
2024-05-03,25.0,25.0,25.0,25.0,0
2024-05-06,25.0,25.0,25.0,25.0,0
2024-05-07,25.0,25.0,25.0,25.0,0
2024-05-08,25.0,25.0,25.0,25.0,0
2024-05-09,25.0,25.0,25.0,25.0,0
2024-05-10,25.0,25.0,25.0,25.0,0
2024-05-13,25.0,25.0,25.0,25.0,0
2024-05-14,25.0,25.0,25.0,25.0,0
2024-05-15,25.0,25.0,25.0,25.0,0
2024-05-16,25.0,25.0,25.0,25.0,0
2024-05-17,25.0,25.0,25.0,25.0,0
2024-05-20,25.0,25.0,25.0,25.0,0
2024-05-21,25.0,25.0,25.0,25.0,0
2024-05-22,25.0,25.0,25.0,25.0,0
2024-05-23,25.0,25.0,25.0,25.0,0
2024-05-24,25.0,25.0,25.0,25.0,0
2024-05-27,25.0,25.0,25.0,25.0,0
2024-05-28,25.0,25.0,25.0,25.0,0
2024-05-29,25.0,25.0,25.0,25.0,0
2024-05-31,25.0,25.0,25.0,25.0,0
2024-06-03,25.0,25.0,25.0,25.0,0
2024-06-04,25.0,25.0,25.0,25.0,0
2024-06-05,25.0,25.0,25.0,25.0,0
2024-06-06,25.0,25.0,25.0,25.0,0
2024-06-07,25.0,25.0,25.0,25.0,0
2024-06-10,25.0,25.0,25.0,25.0,0
2024-06-11,25.0,25.0,25.0,25.0,0
2024-06-12,25.0,25.0,25.0,25.0,0
2024-06-13,25.0,25.0,25.0,25.0,0
2024-06-14,25.0,25.0,25.0,25.0,0
2024-06-17,25.0,25.0,25.0,25.0,0
2024-06-18,25.0,25.0,25.0,25.0,0
2024-06-19,25.0,25.0,25.0,25.0,0
2024-06-20,25.0,25.0,25.0,25.0,0
2024-06-21,25.0,25.0,25.0,25.0,0
2024-06-24,25.0,25.0,25.0,25.0,0
2024-06-25,25.0,25.0,25.0,25.0,0
2024-06-26,25.0,25.0,25.0,25.0,0
2024-06-27,25.0,25.0,25.0,25.0,0
2024-06-28,25.0,25.0,25.0,25.0,0
2024-07-01,25.0,25.0,25.0,25.0,0
2024-07-02,25.0,25.0,25.0,25.0,0
2024-07-03,25.0,25.0,25.0,25.0,0
2024-07-04,25.0,25.0,25.0,25.0,0
2024-07-05,25.0,25.0,25.0,25.0,0
2024-07-08,25.0,25.0,25.0,25.0,0
2024-07-09,25.0,25.0,25.0,25.0,0
2024-07-10,25.0,25.0,25.0,25.0,0
2024-07-11,25.0,25.0,25.0,25.0,0
2024-07-12,25.0,25.0,25.0,25.0,0
2024-07-15,25.0,25.0,25.0,25.0,0
2024-07-16,25.0,25.0,25.0,25.0,0
2024-07-17,25.0,25.0,25.0,25.0,0
2024-07-18,25.0,25.0,25.0,25.0,0
2024-07-19,25.0,25.0,25.0,25.0,0
2024-07-22,25.0,25.0,25.0,25.0,0
2024-07-23,25.0,25.0,25.0,25.0,0
2024-07-24,25.0,25.0,25.0,25.0,0
2024-07-25,25.0,25.0,25.0,25.0,0
2024-07-26,25.0,25.0,25.0,25.0,0
2024-07-29,25.0,25.0,25.0,25.0,0
2024-07-30,25.0,25.0,25.0,25.0,0
2024-07-31,25.0,25.0,25.0,25.0,0
2024-08-01,25.0,25.0,25.0,25.0,0
2024-08-02,25.0,25.0,25.0,25.0,0
2024-08-05,25.0,25.0,25.0,25.0,0
2024-08-06,25.0,25.0,25.0,25.0,0
2024-08-07,25.0,25.0,25.0,25.0,0
2024-08-08,25.0,25.0,25.0,25.0,0
2024-08-09,25.0,25.0,25.0,25.0,0
2024-08-12,25.0,25.0,25.0,25.0,0
2024-08-13,25.0,25.0,25.0,25.0,0
2024-08-14,25.0,25.0,25.0,25.0,0
2024-08-15,25.0,25.0,25.0,25.0,0
2024-08-16,25.0,25.0,25.0,25.0,0
2024-08-19,25.0,25.0,25.0,25.0,0
2024-08-20,25.0,25.0,25.0,25.0,0
2024-08-21,25.0,25.0,25.0,25.0,0
2024-08-22,25.0,25.0,25.0,25.0,0
2024-08-23,25.0,25.0,25.0,25.0,0
2024-08-26,25.0,25.0,25.0,25.0,0
2024-08-27,25.0,25.0,25.0,25.0,0
2024-08-28,25.0,25.0,25.0,25.0,0
2024-08-29,25.0,25.0,25.0,25.0,0
2024-08-30,25.0,25.0,25.0,25.0,0
2024-09-02,25.0,25.0,25.0,25.0,0
2024-09-03,25.0,25.0,25.0,25.0,0
2024-09-04,25.0,25.0,25.0,25.0,0
2024-09-05,25.0,25.0,25.0,25.0,0
2024-09-06,25.0,25.0,25.0,25.0,0
2024-09-09,25.0,25.0,25.0,25.0,0
2024-09-10,25.0,25.0,25.0,25.0,0
2024-09-11,25.0,25.0,25.0,25.0,0
2024-09-12,25.0,25.0,25.0,25.0,0
2024-09-13,25.0,25.0,25.0,25.0,0
2024-09-16,25.0,25.0,25.0,25.0,0
2024-09-17,25.0,25.0,25.0,25.0,0
2024-09-18,25.0,25.0,25.0,25.0,0
2024-09-19,25.0,25.0,25.0,25.0,0
2024-09-20,25.0,25.0,25.0,25.0,0
2024-09-23,25.0,25.0,25.0,25.0,0
2024-09-24,25.0,25.0,25.0,25.0,0
2024-09-25,25.0,25.0,25.0,25.0,0
2024-09-26,25.0,25.0,25.0,25.0,0
2024-09-27,20.0,20.0,20.0,20.0,100
2024-09-30,20.0,20.0,20.0,20.0,0
2024-10-01,20.0,20.0,20.0,20.0,0
2024-10-02,20.0,20.0,20.0,20.0,0
2024-10-03,20.0,20.0,20.0,20.0,0
2024-10-04,20.0,20.0,20.0,20.0,0
2024-10-07,20.0,20.0,20.0,20.0,0
2024-10-08,20.0,20.0,20.0,20.0,0
2024-10-09,20.0,20.0,20.0,20.0,0
2024-10-10,20.0,20.0,20.0,20.0,0
2024-10-11,20.0,20.0,20.0,20.0,0
2024-10-14,20.0,20.0,20.0,20.0,0
2024-10-15,20.0,20.0,20.0,20.0,0
2024-10-16,20.0,20.0,20.0,20.0,0
2024-10-17,20.0,20.0,20.0,20.0,0
2024-10-18,20.0,20.0,20.0,20.0,0
2024-10-21,20.0,20.0,20.0,20.0,0
2024-10-22,20.0,20.0,20.0,20.0,0
2024-10-23,20.0,20.0,20.0,20.0,0
2024-10-24,20.0,20.0,20.0,20.0,0
2024-10-25,20.0,20.0,20.0,20.0,0
2024-10-28,20.0,20.0,20.0,20.0,0
2024-10-29,20.0,20.0,20.0,20.0,0
2024-10-30,20.0,20.0,20.0,20.0,0
2024-10-31,20.0,20.0,20.0,20.0,0
2024-11-01,20.0,20.0,20.0,20.0,0
2024-11-04,20.0,20.0,20.0,20.0,0
2024-11-05,20.0,20.0,20.0,20.0,0
2024-11-06,20.0,20.0,20.0,20.0,0
2024-11-07,20.0,20.0,20.0,20.0,0
2024-11-08,20.0,20.0,20.0,20.0,0
2024-11-11,20.0,20.0,20.0,20.0,0
2024-11-12,20.0,20.0,20.0,20.0,0
2024-11-13,20.0,20.0,20.0,20.0,0
2024-11-14,20.0,20.0,20.0,20.0,0
2024-11-18,20.0,20.0,20.0,20.0,0
2024-11-19,20.0,20.0,20.0,20.0,0
2024-11-21,20.0,20.0,20.0,20.0,0
2024-11-22,20.0,20.0,20.0,20.0,0
2024-11-25,20.0,20.0,20.0,20.0,0
2024-11-26,20.0,20.0,20.0,20.0,0
2024-11-27,20.0,20.0,20.0,20.0,0
2024-11-28,20.0,20.0,20.0,20.0,0
2024-11-29,20.0,20.0,20.0,20.0,0
2024-12-02,20.0,20.0,20.0,20.0,0
2024-12-03,20.0,20.0,20.0,20.0,0
2024-12-04,20.0,20.0,20.0,20.0,0
2024-12-05,20.0,20.0,20.0,20.0,0
2024-12-06,20.0,20.0,20.0,20.0,0
2024-12-09,20.0,20.0,20.0,20.0,0
2024-12-10,20.0,20.0,20.0,20.0,0
2024-12-11,20.0,20.0,20.0,20.0,0
2024-12-12,20.0,20.0,20.0,20.0,0
2024-12-13,20.0,20.0,20.0,20.0,0
2024-12-16,20.0,20.0,20.0,20.0,0
2024-12-17,20.0,20.0,20.0,20.0,0
2024-12-18,20.0,20.0,20.0,20.0,0
2024-12-19,20.0,20.0,20.0,20.0,0
2024-12-20,20.0,20.0,20.0,20.0,0
2024-12-23,20.0,20.0,20.0,20.0,0
2024-12-26,20.0,20.0,20.0,20.0,0
2024-12-27,20.0,20.0,20.0,20.0,0
2024-12-30,20.0,20.0,20.0,20.0,0
2025-01-02,20.0,20.0,20.0,20.0,0
2025-01-03,20.0,20.0,20.0,20.0,0
2025-01-06,20.0,20.0,20.0,20.0,0
