Price,Close,High,Low,Open,Volume
Ticker,COCE6.SA,COCE6.SA,COCE6.SA,COCE6.SA,COCE6.SA
Date,,,,,
2024-04-11,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-12,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-15,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-16,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-17,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-18,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-19,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-22,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-23,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-24,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-25,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-26,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-29,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-04-30,33.352909088134766,33.352909088134766,33.352909088134766,33.352909088134766,0
2024-05-02,35.0,35.0,35.0,35.0,0
2024-05-03,35.0,35.0,35.0,35.0,0
2024-05-06,35.0,35.0,35.0,35.0,0
2024-05-07,35.0,35.0,35.0,35.0,0
2024-05-08,35.0,35.0,35.0,35.0,0
2024-05-09,35.0,35.0,35.0,35.0,0
2024-05-10,35.0,35.0,35.0,35.0,0
2024-05-13,35.0,35.0,35.0,35.0,0
2024-05-14,35.0,35.0,35.0,35.0,0
2024-05-15,35.0,35.0,35.0,35.0,0
2024-05-16,35.0,35.0,35.0,35.0,0
2024-05-17,35.0,35.0,35.0,35.0,0
2024-05-20,35.0,35.0,35.0,35.0,0
2024-05-21,35.0,35.0,35.0,35.0,0
2024-05-22,35.0,35.0,35.0,35.0,0
2024-05-23,35.0,35.0,35.0,35.0,0
2024-05-24,35.0,35.0,35.0,35.0,0
2024-05-27,35.0,35.0,35.0,35.0,0
2024-05-28,35.0,35.0,35.0,35.0,0
2024-05-29,35.0,35.0,35.0,35.0,0
2024-05-31,35.0,35.0,35.0,35.0,0
2024-06-03,35.0,35.0,35.0,35.0,0
2024-06-04,35.0,35.0,35.0,35.0,0
2024-06-05,35.0,35.0,35.0,35.0,0
2024-06-06,35.0,35.0,35.0,35.0,0
2024-06-07,35.0,35.0,35.0,35.0,0
2024-06-10,35.0,35.0,35.0,35.0,0
2024-06-11,35.0,35.0,35.0,35.0,0
2024-06-12,35.0,35.0,35.0,35.0,0
2024-06-13,35.0,35.0,35.0,35.0,0
2024-06-14,35.0,35.0,35.0,35.0,0
2024-06-17,35.0,35.0,35.0,35.0,0
2024-06-18,35.0,35.0,35.0,35.0,0
2024-06-19,35.0,35.0,35.0,35.0,0
2024-06-20,35.0,35.0,35.0,35.0,0
2024-06-21,35.0,35.0,35.0,35.0,0
2024-06-24,35.0,35.0,35.0,35.0,0
2024-06-25,35.0,35.0,35.0,35.0,0
2024-06-26,35.0,35.0,35.0,35.0,0
2024-06-27,35.0,35.0,35.0,35.0,0
2024-06-28,35.0,35.0,35.0,35.0,0
2024-07-01,35.0,35.0,35.0,35.0,0
2024-07-02,35.0,35.0,35.0,35.0,0
2024-07-03,35.0,35.0,35.0,35.0,0
2024-07-04,35.0,35.0,35.0,35.0,0
2024-07-05,35.0,35.0,35.0,35.0,0
2024-07-08,35.0,35.0,35.0,35.0,0
2024-07-09,35.0,35.0,35.0,35.0,0
2024-07-10,35.0,35.0,35.0,35.0,0
2024-07-11,35.0,35.0,35.0,35.0,0
2024-07-12,35.0,35.0,35.0,35.0,0
2024-07-15,35.0,35.0,35.0,35.0,0
2024-07-16,35.0,35.0,35.0,35.0,0
2024-07-17,35.0,35.0,35.0,35.0,0
2024-07-18,35.0,35.0,35.0,35.0,0
2024-07-19,35.0,35.0,35.0,35.0,0
2024-07-22,35.0,35.0,35.0,35.0,0
2024-07-23,35.0,35.0,35.0,35.0,0
2024-07-24,35.0,35.0,35.0,35.0,0
2024-07-25,35.0,35.0,35.0,35.0,0
2024-07-26,35.0,35.0,35.0,35.0,0
2024-07-29,35.0,35.0,35.0,35.0,0
2024-07-30,35.0,35.0,35.0,35.0,0
