Price,Close,High,Low,Open,Volume
Ticker,CORR4.SA,CORR4.SA,CORR4.SA,CORR4.SA,CORR4.SA
Date,,,,,
2024-04-11,82.0,82.0,82.0,82.0,0
2024-04-12,82.0,82.0,82.0,82.0,0
2024-04-15,82.0,82.0,82.0,82.0,0
2024-04-16,82.0,82.0,82.0,82.0,0
2024-04-17,82.0,82.0,82.0,82.0,0
2024-04-18,82.0,82.0,82.0,82.0,0
2024-04-19,82.0,82.0,82.0,82.0,0
2024-04-22,82.0,82.0,82.0,82.0,0
2024-04-23,82.0,82.0,82.0,82.0,0
2024-04-24,82.0,82.0,82.0,82.0,0
2024-04-25,82.0,82.0,82.0,82.0,0
2024-04-26,82.0,82.0,82.0,82.0,0
2024-04-29,82.0,82.0,82.0,82.0,0
2024-04-30,82.0,82.0,82.0,82.0,0
2024-05-02,82.0,82.0,82.0,82.0,0
2024-05-03,82.0,82.0,82.0,82.0,0
2024-05-06,82.0,82.0,82.0,82.0,0
2024-05-07,82.0,82.0,82.0,82.0,0
2024-05-08,82.0,82.0,82.0,82.0,0
2024-05-09,82.0,82.0,82.0,82.0,0
2024-05-10,82.0,82.0,82.0,82.0,0
2024-05-13,82.0,82.0,82.0,82.0,0
2024-05-14,82.0,82.0,82.0,82.0,0
2024-05-15,82.0,82.0,82.0,82.0,0
2024-05-16,82.0,82.0,82.0,82.0,0
2024-05-17,82.0,82.0,82.0,82.0,0
2024-05-20,82.0,82.0,82.0,82.0,0
2024-05-21,82.0,82.0,82.0,82.0,0
2024-05-22,82.0,82.0,82.0,82.0,0
2024-05-23,82.0,82.0,82.0,82.0,0
2024-05-24,82.0,82.0,82.0,82.0,0
2024-05-27,82.0,82.0,82.0,82.0,0
2024-05-28,82.0,82.0,82.0,82.0,0
2024-05-29,82.0,82.0,82.0,82.0,0
2024-05-31,82.0,82.0,82.0,82.0,0
2024-06-03,82.0,82.0,82.0,82.0,0
2024-06-04,82.0,82.0,82.0,82.0,0
2024-06-05,82.0,82.0,82.0,82.0,0
2024-06-06,82.0,82.0,82.0,82.0,0
2024-06-07,82.0,82.0,82.0,82.0,0
2024-06-10,82.0,82.0,82.0,82.0,0
2024-06-11,82.0,82.0,82.0,82.0,0
2024-06-12,82.0,82.0,82.0,82.0,0
2024-06-13,82.0,82.0,82.0,82.0,0
2024-06-14,82.0,82.0,82.0,82.0,0
2024-06-17,82.0,82.0,82.0,82.0,0
2024-06-18,82.0,82.0,82.0,82.0,0
2024-06-19,82.0,82.0,82.0,82.0,0
2024-06-20,82.0,82.0,82.0,82.0,0
2024-06-21,82.0,82.0,82.0,82.0,0
2024-06-24,82.0,82.0,82.0,82.0,0
2024-06-25,82.0,82.0,82.0,82.0,0
2024-06-26,82.0,82.0,82.0,82.0,0
2024-06-27,82.0,82.0,82.0,82.0,0
2024-06-28,82.0,82.0,82.0,82.0,0
2024-07-01,82.0,82.0,82.0,82.0,0
2024-07-02,82.0,82.0,82.0,82.0,0
2024-07-03,82.0,82.0,82.0,82.0,0
2024-07-04,82.0,82.0,82.0,82.0,0
2024-07-05,82.0,82.0,82.0,82.0,0
2024-07-08,82.0,82.0,82.0,82.0,0
2024-07-09,82.0,82.0,82.0,82.0,0
2024-07-10,82.0,82.0,82.0,82.0,0
2024-07-11,82.0,82.0,82.0,82.0,0
2024-07-12,82.0,82.0,82.0,82.0,0
2024-07-15,82.0,82.0,82.0,82.0,0
2024-07-16,82.0,82.0,82.0,82.0,0
2024-07-17,82.0,82.0,82.0,82.0,0
2024-07-18,82.0,82.0,82.0,82.0,0
2024-07-19,82.0,82.0,82.0,82.0,0
2024-07-22,82.0,82.0,82.0,82.0,0
2024-07-23,82.0,82.0,82.0,82.0,0
2024-07-24,82.0,82.0,82.0,82.0,0
2024-07-25,82.0,82.0,82.0,82.0,0
2024-07-26,82.0,82.0,82.0,82.0,0
2024-07-29,82.0,82.0,82.0,82.0,0
2024-07-30,82.0,82.0,82.0,82.0,0
2024-07-31,82.0,82.0,82.0,82.0,0
2024-08-01,82.0,82.0,82.0,82.0,0
2024-08-02,82.0,82.0,82.0,82.0,0
2024-08-05,82.0,82.0,82.0,82.0,0
2024-08-06,82.0,82.0,82.0,82.0,0
