Price,Close,High,Low,Open,Volume
Ticker,GPAR3.SA,GPAR3.SA,GPAR3.SA,GPAR3.SA,GPAR3.SA
Date,,,,,
2024-04-11,47.5,47.5,47.5,47.5,0
2024-04-12,47.5,47.5,47.5,47.5,0
2024-04-15,47.5,47.5,47.5,47.5,0
2024-04-16,47.5,47.5,47.5,47.5,0
2024-04-17,47.5,47.5,47.5,47.5,0
2024-04-18,47.5,47.5,47.5,47.5,0
2024-04-19,47.5,47.5,47.5,47.5,0
2024-04-22,47.5,47.5,47.5,47.5,0
2024-04-23,47.5,47.5,47.5,47.5,0
2024-04-24,47.5,47.5,47.5,47.5,0
2024-04-25,47.5,47.5,47.5,47.5,0
2024-04-26,47.5,47.5,47.5,47.5,0
2024-04-29,47.5,47.5,47.5,47.5,0
2024-04-30,47.5,47.5,47.5,47.5,0
2024-05-02,47.5,47.5,47.5,47.5,0
2024-05-03,47.5,47.5,47.5,47.5,0
2024-05-06,47.5,47.5,47.5,47.5,0
2024-05-07,47.5,47.5,47.5,47.5,0
2024-05-08,47.5,47.5,47.5,47.5,0
2024-05-09,47.5,47.5,47.5,47.5,0
2024-05-10,47.5,47.5,47.5,47.5,0
2024-05-13,47.5,47.5,47.5,47.5,0
2024-05-14,47.5,47.5,47.5,47.5,0
2024-05-15,47.5,47.5,47.5,47.5,0
2024-05-16,47.5,47.5,47.5,47.5,0
2024-05-17,47.5,47.5,47.5,47.5,0
2024-05-20,47.5,47.5,47.5,47.5,0
2024-05-21,47.5,47.5,47.5,47.5,0
2024-05-22,47.5,47.5,47.5,47.5,0
2024-05-23,47.5,47.5,47.5,47.5,0
2024-05-24,47.5,47.5,47.5,47.5,0
2024-05-27,47.5,47.5,47.5,47.5,0
2024-05-28,47.5,47.5,47.5,47.5,0
2024-05-29,47.5,47.5,47.5,47.5,0
2024-05-31,47.5,47.5,47.5,47.5,0
2024-06-03,47.5,47.5,47.5,47.5,0
2024-06-04,47.5,47.5,47.5,47.5,0
2024-06-05,47.5,47.5,47.5,47.5,0
2024-06-06,47.5,47.5,47.5,47.5,0
2024-06-07,47.5,47.5,47.5,47.5,0
2024-06-10,47.5,47.5,47.5,47.5,0
2024-06-11,47.5,47.5,47.5,47.5,0
2024-06-12,47.5,47.5,47.5,47.5,0
2024-06-13,47.5,47.5,47.5,47.5,0
2024-06-14,47.5,47.5,47.5,47.5,0
2024-06-17,47.5,47.5,47.5,47.5,0
2024-06-18,47.5,47.5,47.5,47.5,0
2024-06-19,47.5,47.5,47.5,47.5,0
2024-06-20,47.5,47.5,47.5,47.5,0
2024-06-21,47.5,47.5,47.5,47.5,0
2024-06-24,47.5,47.5,47.5,47.5,0
2024-06-25,47.5,47.5,47.5,47.5,0
2024-06-26,47.5,47.5,47.5,47.5,0
2024-06-27,47.5,47.5,47.5,47.5,0
2024-06-28,47.5,47.5,47.5,47.5,0
2024-07-01,47.5,47.5,47.5,47.5,0
2024-07-02,47.5,47.5,47.5,47.5,0
2024-07-03,47.5,47.5,47.5,47.5,0
2024-07-04,47.5,47.5,47.5,47.5,0
2024-07-05,47.5,47.5,47.5,47.5,0
2024-07-08,47.5,47.5,47.5,47.5,0
2024-07-09,47.5,47.5,47.5,47.5,0
2024-07-10,47.5,47.5,47.5,47.5,0
2024-07-11,47.5,47.5,47.5,47.5,0
