Date,Close,High,Low,Open,Volume
2024-04-16,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-17,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-18,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-19,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-22,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,100
2024-04-23,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-24,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,100
2024-04-25,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-26,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-04-29,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,100
2024-04-30,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-02,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-03,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-06,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-07,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-08,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-09,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0
2024-05-10,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,1000
2024-05-13,10.5,10.5,10.5,10.5,300
2024-05-14,10.5,10.5,10.5,10.5,0
2024-05-15,10.5,10.5,10.5,10.5,0
2024-05-16,10.5,10.5,10.5,10.5,0
2024-05-17,10.5,10.5,10.5,10.5,400
2024-05-20,10.5,10.5,10.5,10.5,0
2024-05-21,10.5,10.5,10.5,10.5,0
2024-05-22,10.5,10.5,10.5,10.5,0
2024-05-23,10.5,10.5,10.5,10.5,0
2024-05-24,10.5,10.5,10.5,10.5,0
2024-05-27,10.5,10.5,10.5,10.5,0
2024-05-28,10.5,10.5,10.5,10.5,0
2024-05-29,10.5,10.5,10.5,10.5,0
2024-05-31,10.5,10.5,10.5,10.5,0
2024-06-03,10.5,10.5,10.5,10.5,0
2024-06-04,10.5,10.5,10.5,10.5,0
2024-06-05,10.5,10.5,10.5,10.5,100
2024-06-06,10.5,10.5,10.5,10.5,0
2024-06-07,10.5,10.5,10.5,10.5,0
2024-06-10,10.5,10.5,10.5,10.5,0
2024-06-11,10.5,10.5,10.5,10.5,0
2024-06-12,10.5,10.5,10.5,10.5,0
2024-06-13,10.5,10.5,10.5,10.5,400
2024-06-14,10.5,10.5,10.5,10.5,200
2024-06-17,10.5,10.5,10.5,10.5,0
2024-06-18,10.5,10.5,10.5,10.5,0
2024-06-19,10.5,10.5,10.5,10.5,0
2024-06-20,10.5,10.5,10.5,10.5,0
2024-06-21,10.5,10.5,10.5,10.5,0
2024-06-24,10.5,10.5,10.5,10.5,0
2024-06-25,10.5,10.5,10.5,10.5,0
2024-06-26,10.5,10.5,10.5,10.5,0
2024-06-27,10.5,10.5,10.5,10.5,0
2024-06-28,10.5,10.5,10.5,10.5,200
2024-07-01,10.5,10.5,10.5,10.5,100
2024-07-02,10.5,10.5,10.5,10.5,0
2024-07-03,10.5,10.5,10.5,10.5,400
2024-07-04,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,100
2024-07-05,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0
2024-07-08,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0
2024-07-09,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0
2024-07-10,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0
2024-07-11,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0
2024-07-12,10.5,10.5,10.5,10.5,100
2024-07-15,10.5,10.5,10.5,10.5,0
2024-07-16,10.5,10.5,10.5,10.5,0
2024-07-17,10.5,10.5,10.5,10.5,0
2024-07-18,10.5,10.5,10.5,10.5,0
2024-07-19,10.5,10.5,10.5,10.5,0
2024-07-22,10.5,10.5,10.5,10.5,0
2024-07-23,10.5,10.5,10.5,10.5,0
2024-07-24,10.5,10.5,10.5,10.5,400
2024-07-25,10.5,10.5,10.5,10.5,0
2024-07-26,10.5,10.5,10.5,10.5,0
2024-07-29,10.5,10.5,10.5,10.5,100
2024-07-30,10.5,10.5,10.5,10.5,0
2024-07-31,10.5,10.5,10.5,10.5,0
2024-08-01,10.5,10.5,10.5,10.5,100
2024-08-02,10.5,10.5,10.5,10.5,500
2024-08-05,10.5,10.5,10.5,10.5,0
2024-08-06,10.5,10.5,10.5,10.5,0
2024-08-07,10.5,10.5,10.5,10.5,0
2024-08-08,10.5,10.5,10.5,10.5,0
2024-08-09,10.5,10.5,10.5,10.5,0
2024-08-12,10.5,10.5,10.5,10.5,0
2024-08-13,10.5,10.5,10.5,10.5,0
2024-08-14,10.5,10.5,10.5,10.5,0
2024-08-15,10.5,10.5,10.5,10.5,0
2024-08-16,11.5,11.5,10.5,10.5,300
2024-08-19,11.5,11.5,11.5,11.5,0
2024-08-20,11.5,11.5,11.5,11.5,0
2024-08-21,11.5,11.5,11.5,11.5,0
2024-08-22,11.5,11.5,11.5,11.5,0
2024-08-23,11.5,11.5,11.5,11.5,0
2024-08-26,11.5,11.5,11.5,11.5,0
2024-08-27,11.5,11.5,11.5,11.5,0
2024-08-28,11.5,11.5,11.5,11.5,0
2024-08-29,11.5,11.5,11.5,11.5,0
2024-08-30,11.5,11.5,11.5,11.5,0
2024-09-02,11.270000457763672,11.270000457763672,11.270000457763672,11.270000457763672,100
2024-09-03,11.270000457763672,11.270000457763672,11.270000457763672,11.270000457763672,0
2024-09-04,10.5,10.5,10.5,10.5,100
2024-09-05,10.5,10.5,10.5,10.5,0
2024-09-06,10.5,10.5,10.5,10.5,0
2024-09-09,10.5,10.5,10.5,10.5,0
2024-09-10,10.5,10.5,10.5,10.5,0
2024-09-11,10.5,10.5,10.5,10.5,1700
2024-09-12,10.5,10.5,10.5,10.5,0
2024-09-13,10.5,10.5,10.5,10.5,0
2024-09-16,10.5,10.5,10.5,10.5,0
2024-09-17,10.3100004196167,10.3100004196167,10.3100004196167,10.3100004196167,400
2024-09-18,10.3100004196167,10.3100004196167,10.3100004196167,10.3100004196167,0
2024-09-19,10.3100004196167,10.3100004196167,10.3100004196167,10.3100004196167,0
2024-09-20,10.5,10.5,10.5,10.5,100
2024-09-23,10.5,10.5,10.5,10.5,1000
2024-09-24,10.390000343322754,10.390000343322754,10.390000343322754,10.390000343322754,100
2024-09-25,10.0,10.3100004196167,10.0,10.3100004196167,3400
2024-09-26,10.0,10.0,10.0,10.0,0
2024-09-27,9.5,9.5,9.5,9.5,100
2024-09-30,9.5,9.5,9.5,9.5,0
2024-10-01,9.989999771118164,9.989999771118164,9.989999771118164,9.989999771118164,100
2024-10-02,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,100
2024-10-03,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,100
2024-10-04,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0
2024-10-07,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0
2024-10-08,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0
2024-10-09,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0
2024-10-10,8.800000190734863,9.5,8.800000190734863,8.800000190734863,400
2024-10-11,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,0
2024-10-14,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,0
2024-10-15,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,0
2024-10-16,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,100
2024-10-17,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,800
2024-10-18,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,0
2024-10-21,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,0
2024-10-22,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,0
2024-10-23,8.5,8.5,8.5,8.5,3900
2024-10-24,8.5,8.5,8.5,8.5,0
2024-10-25,8.5,8.5,8.5,8.5,0
2024-10-28,8.5,8.5,8.5,8.5,0
2024-10-29,8.5,8.5,8.5,8.5,0
2024-10-30,8.5,8.5,8.5,8.5,0
2024-10-31,8.5,8.5,8.5,8.5,0
2024-11-01,8.5,8.5,8.5,8.5,0
2024-11-04,8.069999694824219,8.069999694824219,8.069999694824219,8.069999694824219,1000
2024-11-05,7.5,7.5,7.5,7.5,1600
2024-11-06,7.5,7.5,7.5,7.5,0
2024-11-07,7.5,7.5,7.5,7.5,0
2024-11-08,7.5,7.5,7.5,7.5,0
2024-11-11,7.5,7.5,7.5,7.5,0
2024-11-12,7.5,7.5,7.5,7.5,0
2024-11-13,7.5,7.5,7.5,7.5,0
2024-11-14,7.5,7.5,7.5,7.5,0
2024-11-18,7.5,7.5,7.5,7.5,0
2024-11-19,7.5,7.5,7.5,7.5,100
2024-11-21,7.5,7.5,7.5,7.5,0
2024-11-22,7.5,7.5,7.5,7.5,0
2024-11-25,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,100
2024-11-26,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2024-11-27,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2024-11-28,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2024-11-29,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2024-12-02,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2024-12-03,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,0
2024-12-04,6.650000095367432,6.650000095367432,6.650000095367432,6.650000095367432,1500
2024-12-05,6.590000152587891,6.599999904632568,6.590000152587891,6.599999904632568,1800
2024-12-06,6.590000152587891,6.590000152587891,6.590000152587891,6.590000152587891,0
2024-12-09,6.590000152587891,6.590000152587891,6.590000152587891,6.590000152587891,0
2024-12-10,6.510000228881836,6.590000152587891,6.510000228881836,6.590000152587891,500
2024-12-11,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-12,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,400
2024-12-13,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-16,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-17,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-18,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-19,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-20,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-23,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-26,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-27,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2024-12-30,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-02,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-03,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-06,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-07,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-08,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-09,6.510000228881836,6.510000228881836,6.510000228881836,6.510000228881836,0
2025-01-10,6.0,6.0,6.0,6.0,4000
2025-01-13,6.0,6.0,6.0,6.0,1100
2025-01-14,6.0,6.0,6.0,6.0,0
2025-01-15,6.0,6.0,6.0,6.0,0
2025-01-16,6.0,6.0,6.0,6.0,0
2025-01-17,6.0,6.0,6.0,6.0,0
2025-01-20,6.0,6.0,6.0,6.0,0
2025-01-21,6.0,6.0,6.0,6.0,0
2025-01-22,6.0,6.0,6.0,6.0,0
2025-01-23,6.0,6.0,6.0,6.0,100
2025-01-24,6.0,6.0,6.0,6.0,0
2025-01-27,6.0,6.0,6.0,6.0,0
2025-01-28,6.0,6.0,6.0,6.0,0
2025-01-29,6.0,6.0,6.0,6.0,0
2025-01-30,6.0,6.0,6.0,6.0,0
2025-01-31,6.0,6.0,6.0,6.0,0
2025-02-03,6.0,6.0,6.0,6.0,0
2025-02-04,6.0,6.0,6.0,6.0,0
2025-02-05,6.0,6.0,6.0,6.0,0
2025-02-06,6.0,6.0,6.0,6.0,0
2025-02-07,6.0,6.0,6.0,6.0,0
2025-02-10,6.0,6.0,6.0,6.0,0
2025-02-11,6.0,6.0,6.0,6.0,0
2025-02-12,6.0,6.0,6.0,6.0,0
2025-02-13,6.0,6.0,6.0,6.0,0
2025-02-14,6.0,6.0,6.0,6.0,0
2025-02-17,6.0,6.0,6.0,6.0,0
2025-02-18,6.0,6.0,6.0,6.0,0
2025-02-19,6.0,6.0,6.0,6.0,0
2025-02-20,6.0,6.0,6.0,6.0,0
2025-02-21,6.0,6.0,6.0,6.0,0
2025-02-24,6.0,6.0,6.0,6.0,0
2025-02-25,6.0,6.0,6.0,6.0,0
2025-02-26,6.0,6.0,6.0,6.0,0
2025-02-27,6.0,6.0,6.0,6.0,0
2025-02-28,6.0,6.0,6.0,6.0,0
2025-03-05,6.0,6.0,6.0,6.0,0
2025-03-06,6.0,6.0,6.0,6.0,0
2025-03-07,6.0,6.0,6.0,6.0,0
2025-03-10,6.0,6.0,6.0,6.0,0
2025-03-11,6.0,6.0,6.0,6.0,0
2025-03-12,6.0,6.0,6.0,6.0,0
2025-03-13,6.0,6.0,6.0,6.0,0
2025-03-14,6.0,6.0,6.0,6.0,0
2025-03-17,6.0,6.0,6.0,6.0,0
2025-03-18,6.0,6.0,6.0,6.0,0
2025-03-19,6.0,6.0,6.0,6.0,0
2025-03-20,6.0,6.0,6.0,6.0,0
2025-03-21,6.0,6.0,6.0,6.0,0
2025-03-24,6.0,6.0,6.0,6.0,0
2025-03-25,6.0,6.0,6.0,6.0,0
2025-03-26,6.0,6.0,6.0,6.0,0
2025-03-27,6.0,6.0,6.0,6.0,0
2025-03-28,6.0,6.0,6.0,6.0,0
2025-03-31,6.0,6.0,6.0,6.0,0
2025-04-01,6.0,6.0,6.0,6.0,0
2025-04-02,6.0,6.0,6.0,6.0,0
2025-04-03,6.0,6.0,6.0,6.0,0
2025-04-04,6.0,6.0,6.0,6.0,0
