Price,Close,High,Low,Open,Volume
Ticker,HETA3.SA,HETA3.SA,HETA3.SA,HETA3.SA,HETA3.SA
Date,,,,,
2024-04-11,96.0,96.0,96.0,96.0,0
2024-04-12,96.0,96.0,96.0,96.0,0
2024-04-15,96.0,96.0,96.0,96.0,0
2024-04-16,96.0,96.0,96.0,96.0,0
2024-04-17,96.0,96.0,96.0,96.0,0
2024-04-18,96.0,96.0,96.0,96.0,0
2024-04-19,96.0,96.0,96.0,96.0,0
2024-04-22,96.0,96.0,96.0,96.0,0
2024-04-23,96.0,96.0,96.0,96.0,0
2024-04-24,96.0,96.0,96.0,96.0,0
2024-04-25,96.0,96.0,96.0,96.0,0
2024-04-26,96.0,96.0,96.0,96.0,0
2024-04-29,96.0,96.0,96.0,96.0,0
2024-04-30,96.0,96.0,96.0,96.0,0
2024-05-02,96.0,96.0,96.0,96.0,0
2024-05-03,96.0,96.0,96.0,96.0,0
2024-05-06,96.0,96.0,96.0,96.0,0
2024-05-07,96.0,96.0,96.0,96.0,0
2024-05-08,96.0,96.0,96.0,96.0,0
2024-05-09,96.0,96.0,96.0,96.0,0
2024-05-10,96.0,96.0,96.0,96.0,0
2024-05-13,96.0,96.0,96.0,96.0,0
2024-05-14,96.0,96.0,96.0,96.0,0
2024-05-15,96.0,96.0,96.0,96.0,0
2024-05-16,96.0,96.0,96.0,96.0,0
2024-05-17,96.0,96.0,96.0,96.0,0
2024-05-20,96.0,96.0,96.0,96.0,0
2024-05-21,96.0,96.0,96.0,96.0,0
2024-05-22,96.0,96.0,96.0,96.0,0
2024-05-23,96.0,96.0,96.0,96.0,0
2024-05-24,96.0,96.0,96.0,96.0,0
2024-05-27,96.0,96.0,96.0,96.0,0
2024-05-28,96.0,96.0,96.0,96.0,0
2024-05-29,96.0,96.0,96.0,96.0,0
2024-05-31,96.0,96.0,96.0,96.0,0
2024-06-03,96.0,96.0,96.0,96.0,0
2024-06-04,96.0,96.0,96.0,96.0,0
2024-06-05,96.0,96.0,96.0,96.0,0
2024-06-06,96.0,96.0,96.0,96.0,0
2024-06-07,96.0,96.0,96.0,96.0,0
2024-06-10,96.0,96.0,96.0,96.0,0
2024-06-11,96.0,96.0,96.0,96.0,0
2024-06-12,96.0,96.0,96.0,96.0,0
2024-06-13,96.0,96.0,96.0,96.0,0
2024-06-14,96.0,96.0,96.0,96.0,0
2024-06-17,96.0,96.0,96.0,96.0,0
2024-06-18,96.0,96.0,96.0,96.0,0
2024-06-19,96.0,96.0,96.0,96.0,0
2024-06-20,96.0,96.0,96.0,96.0,0
2024-06-21,96.0,96.0,96.0,96.0,0
2024-06-24,96.0,96.0,96.0,96.0,0
2024-06-25,96.0,96.0,96.0,96.0,0
2024-06-26,96.0,96.0,96.0,96.0,0
2024-06-27,96.0,96.0,96.0,96.0,0
2024-06-28,96.0,96.0,96.0,96.0,0
2024-07-01,96.0,96.0,96.0,96.0,0
2024-07-02,96.0,96.0,96.0,96.0,0
2024-07-03,96.0,96.0,96.0,96.0,0
2024-07-04,96.0,96.0,96.0,96.0,0
2024-07-05,96.0,96.0,96.0,96.0,0
2024-07-08,96.0,96.0,96.0,96.0,0
2024-07-09,96.0,96.0,96.0,96.0,0
2024-07-10,96.0,96.0,96.0,96.0,0
2024-07-11,96.0,96.0,96.0,96.0,0
2024-07-12,96.0,96.0,96.0,96.0,0
2024-07-15,96.0,96.0,96.0,96.0,0
2024-07-16,96.0,96.0,96.0,96.0,0
2024-07-17,96.0,96.0,96.0,96.0,0
2024-07-18,96.0,96.0,96.0,96.0,0
2024-07-19,96.0,96.0,96.0,96.0,0
2024-07-22,96.0,96.0,96.0,96.0,0
2024-07-23,96.0,96.0,96.0,96.0,0
2024-07-24,96.0,96.0,96.0,96.0,0
2024-07-25,96.0,96.0,96.0,96.0,0
2024-07-26,96.0,96.0,96.0,96.0,0
2024-07-29,96.0,96.0,96.0,96.0,0
2024-07-30,96.0,96.0,96.0,96.0,0
2024-07-31,96.0,96.0,96.0,96.0,0
2024-08-01,96.0,96.0,96.0,96.0,0
2024-08-02,96.0,96.0,96.0,96.0,0
2024-08-05,96.0,96.0,96.0,96.0,0
2024-08-06,96.0,96.0,96.0,96.0,0
2024-08-07,96.0,96.0,96.0,96.0,0
2024-08-08,96.0,96.0,96.0,96.0,0
2024-08-09,96.0,96.0,96.0,96.0,0
2024-08-12,96.0,96.0,96.0,96.0,0
2024-08-13,96.0,96.0,96.0,96.0,0
2024-08-14,96.0,96.0,96.0,96.0,0
2024-08-15,96.0,96.0,96.0,96.0,0
2024-08-16,96.0,96.0,96.0,96.0,0
2024-08-19,96.0,96.0,96.0,96.0,0
2024-08-20,96.0,96.0,96.0,96.0,0
2024-08-21,96.0,96.0,96.0,96.0,0
2024-08-22,96.0,96.0,96.0,96.0,0
2024-08-23,96.0,96.0,96.0,96.0,0
2024-08-26,96.0,96.0,96.0,96.0,0
2024-08-27,96.0,96.0,96.0,96.0,0
2024-08-28,96.0,96.0,96.0,96.0,0
2024-08-29,96.0,96.0,96.0,96.0,0
2024-08-30,96.0,96.0,96.0,96.0,0
2024-09-02,96.0,96.0,96.0,96.0,0
2024-09-03,96.0,96.0,96.0,96.0,0
2024-09-04,96.0,96.0,96.0,96.0,0
2024-09-05,96.0,96.0,96.0,96.0,0
2024-09-06,96.0,96.0,96.0,96.0,0
2024-09-09,96.0,96.0,96.0,96.0,0
2024-09-10,96.0,96.0,96.0,96.0,0
2024-09-11,96.0,96.0,96.0,96.0,0
2024-09-12,96.0,96.0,96.0,96.0,0
2024-09-13,96.0,96.0,96.0,96.0,0
2024-09-16,96.0,96.0,96.0,96.0,0
2024-09-17,96.0,96.0,96.0,96.0,0
2024-09-18,96.0,96.0,96.0,96.0,0
2024-09-19,96.0,96.0,96.0,96.0,0
2024-09-20,96.0,96.0,96.0,96.0,0
2024-09-23,96.0,96.0,96.0,96.0,0
2024-09-24,96.0,96.0,96.0,96.0,0
2024-09-25,96.0,96.0,96.0,96.0,0
2024-09-26,96.0,96.0,96.0,96.0,0
2024-09-27,96.0,96.0,96.0,96.0,0
2024-09-30,96.0,96.0,96.0,96.0,0
2024-10-01,96.0,96.0,96.0,96.0,0
2024-10-02,96.0,96.0,96.0,96.0,0
2024-10-03,96.0,96.0,96.0,96.0,0
2024-10-04,96.0,96.0,96.0,96.0,0
2024-10-07,96.0,96.0,96.0,96.0,0
2024-10-08,96.0,96.0,96.0,96.0,0
2024-10-09,96.0,96.0,96.0,96.0,0
2024-10-10,96.0,96.0,96.0,96.0,0
2024-10-11,96.0,96.0,96.0,96.0,0
2024-10-14,96.0,96.0,96.0,96.0,0
2024-10-15,96.0,96.0,96.0,96.0,0
2024-10-16,96.0,96.0,96.0,96.0,0
2024-10-17,96.0,96.0,96.0,96.0,0
2024-10-18,96.0,96.0,96.0,96.0,0
2024-10-21,96.0,96.0,96.0,96.0,0
2024-10-22,96.0,96.0,96.0,96.0,0
2024-10-23,96.0,96.0,96.0,96.0,0
2024-10-24,96.0,96.0,96.0,96.0,0
2024-10-25,96.0,96.0,96.0,96.0,0
2024-10-28,96.0,96.0,96.0,96.0,0
2024-10-29,96.0,96.0,96.0,96.0,0
2024-10-30,96.0,96.0,96.0,96.0,0
2024-10-31,96.0,96.0,96.0,96.0,0
2024-11-01,96.0,96.0,96.0,96.0,0
2024-11-04,96.0,96.0,96.0,96.0,0
2024-11-05,96.0,96.0,96.0,96.0,0
2024-11-06,96.0,96.0,96.0,96.0,0
2024-11-07,96.0,96.0,96.0,96.0,0
2024-11-08,96.0,96.0,96.0,96.0,0
2024-11-11,96.0,96.0,96.0,96.0,0
2024-11-12,96.0,96.0,96.0,96.0,0
2024-11-13,96.0,96.0,96.0,96.0,0
2024-11-14,96.0,96.0,96.0,96.0,0
2024-11-18,96.0,96.0,96.0,96.0,0
2024-11-19,96.0,96.0,96.0,96.0,0
2024-11-21,96.0,96.0,96.0,96.0,0
2024-11-22,96.0,96.0,96.0,96.0,0
2024-11-25,96.0,96.0,96.0,96.0,0
2024-11-26,96.0,96.0,96.0,96.0,0
2024-11-27,96.0,96.0,96.0,96.0,0
2024-11-28,96.0,96.0,96.0,96.0,0
2024-11-29,96.0,96.0,96.0,96.0,0
2024-12-02,96.0,96.0,96.0,96.0,0
2024-12-03,96.0,96.0,96.0,96.0,0
2024-12-04,96.0,96.0,96.0,96.0,0
2024-12-05,96.0,96.0,96.0,96.0,0
2024-12-06,96.0,96.0,96.0,96.0,0
2024-12-09,96.0,96.0,96.0,96.0,0
2024-12-10,96.0,96.0,96.0,96.0,0
2024-12-11,96.0,96.0,96.0,96.0,0
2024-12-12,96.0,96.0,96.0,96.0,0
2024-12-13,96.0,96.0,96.0,96.0,0
2024-12-16,96.0,96.0,96.0,96.0,0
2024-12-17,96.0,96.0,96.0,96.0,0
2024-12-18,96.0,96.0,96.0,96.0,0
2024-12-19,96.0,96.0,96.0,96.0,0
2024-12-20,96.0,96.0,96.0,96.0,0
2024-12-23,96.0,96.0,96.0,96.0,0
2024-12-26,96.0,96.0,96.0,96.0,0
2024-12-27,96.0,96.0,96.0,96.0,0
2024-12-30,96.0,96.0,96.0,96.0,0
2025-01-02,96.0,96.0,96.0,96.0,0
2025-01-03,96.0,96.0,96.0,96.0,0
2025-01-06,96.0,96.0,96.0,96.0,0
2025-01-07,96.0,96.0,96.0,96.0,0
2025-01-08,96.0,96.0,96.0,96.0,0
2025-01-09,96.0,96.0,96.0,96.0,0
2025-01-10,96.0,96.0,96.0,96.0,0
2025-01-13,96.0,96.0,96.0,96.0,0
2025-01-14,96.0,96.0,96.0,96.0,0
2025-01-15,96.0,96.0,96.0,96.0,0
2025-01-16,96.0,96.0,96.0,96.0,0
2025-01-17,96.0,96.0,96.0,96.0,0
2025-01-20,96.0,96.0,96.0,96.0,0
2025-01-21,96.0,96.0,96.0,96.0,0
2025-01-22,96.0,96.0,96.0,96.0,0
2025-01-23,96.0,96.0,96.0,96.0,0
2025-01-24,96.0,96.0,96.0,96.0,0
2025-01-27,96.0,96.0,96.0,96.0,0
2025-01-28,96.0,96.0,96.0,96.0,0
2025-01-29,96.0,96.0,96.0,96.0,0
2025-01-30,96.0,96.0,96.0,96.0,0
2025-01-31,96.0,96.0,96.0,96.0,0
2025-02-03,96.0,96.0,96.0,96.0,0
2025-02-04,96.0,96.0,96.0,96.0,0
2025-02-05,96.0,96.0,96.0,96.0,0
2025-02-06,96.0,96.0,96.0,96.0,0
2025-02-07,96.0,96.0,96.0,96.0,0
2025-02-10,96.0,96.0,96.0,96.0,0
2025-02-11,96.0,96.0,96.0,96.0,0
2025-02-12,96.0,96.0,96.0,96.0,0
2025-02-13,96.0,96.0,96.0,96.0,0
