Price,Close,High,Low,Open,Volume
Ticker,MDIA3.SA,MDIA3.SA,MDIA3.SA,MDIA3.SA,MDIA3.SA
Date,,,,,
2024-04-11,34.73488998413086,35.39044808801493,34.47070868283266,35.39044808801493,916300
2024-04-12,34.186954498291016,34.832729702618266,33.83471653159699,34.832729702618266,923600
2024-04-15,33.658599853515625,34.18695873527977,33.208511108520376,34.177175901304025,2267400
2024-04-16,33.42376708984375,34.049972904621356,33.30635443269322,33.50204468293149,1178600
2024-04-17,33.41398239135742,33.76622034314264,33.33570480264013,33.74665467844419,784500
2024-04-18,33.48247528076172,33.86406921581733,33.384628289413435,33.46290588249206,951900
2024-04-19,33.56074905395508,33.746656470792104,33.374845369599115,33.707517674354726,646600
2024-04-22,33.41398239135742,33.75643751079341,33.40419582652733,33.75643751079341,566800
2024-04-23,33.44333267211914,33.756435543781855,33.24764244420978,33.44333267211914,987200
2024-04-24,33.39441680908203,33.76622420052103,33.36506084371906,33.658598102461085,466200
2024-04-25,33.53139877319336,33.53139877319336,33.26721748059675,33.4922599744795,609200
2024-04-26,33.56074905395508,33.95212955336676,33.46290579534269,33.648809479698656,1456000
2024-04-29,33.658599853515625,34.11846770000513,33.453123015210224,33.5607528513508,2142900
2024-04-30,33.2085075378418,33.59010520653188,33.08131204742619,33.46290598363519,901700
2024-05-02,33.1400146484375,33.599886152130466,32.963893805852145,33.3063526586485,952100
2024-05-03,33.658599853515625,33.795581924064905,33.267219309819275,33.31614094466095,738700
2024-05-06,33.23786163330078,33.76622042855555,33.23786163330078,33.49225633231375,566000
2024-05-07,33.658599853515625,33.74666028922323,33.257436475843534,33.277002143795016,344100
2024-05-08,33.805362701416016,33.97170072873594,33.52161201112284,33.57053737546951,624500
2024-05-09,33.55096435546875,33.80535905320386,33.35527411664436,33.80535905320386,398100
2024-05-10,33.5118293762207,33.81514946755275,33.198726451450135,33.81514946755275,715400
2024-05-13,34.245662689208984,34.57833499034626,32.611657146771904,33.022603307451526,2554900
2024-05-14,34.04997253417969,34.71531713826264,34.04997253417969,34.42178363233923,768700
2024-05-15,34.245662689208984,34.58811782310867,33.91299038807171,33.9521291840834,578300
2024-05-16,34.37286376953125,34.70553608866564,34.138034713238234,34.70553608866564,618300
2024-05-17,34.803375244140625,35.08712589836712,34.38264254510984,34.40221194186485,696600
2024-05-20,34.089111328125,34.87186858803123,34.049972532009434,34.87186858803123,926300
2024-05-21,33.10087966918945,34.33372183788735,33.03238491247429,34.08910997062753,973000
2024-05-22,33.012821197509766,33.14001668861117,32.53338026707176,32.87583540846955,1255900
2024-05-23,33.19872283935547,33.39441307916586,32.89540278102532,33.081310188461586,781200
2024-05-24,32.85626983642578,33.30635480425819,32.69971464850378,33.30635480425819,351300
2024-05-27,32.582298278808594,32.79755790520142,32.09307456971993,32.72906688452747,441800
2024-05-28,31.916955947875977,32.817129575876216,31.907173115307703,32.817129575876216,500500
2024-05-29,31.623424530029297,31.9952356442725,31.45709023805385,31.79954538769812,667700
2024-05-31,30.674327850341797,31.574499576631805,30.537343938657397,31.4864391570634,1310200
2024-06-03,30.674327850341797,30.938509109047,30.380792496366993,30.576482732350197,569100
2024-06-04,30.537343978881836,30.791740539498935,30.28294928450514,30.615621566370546,587300
2024-06-05,31.016786575317383,31.07549290291923,30.3905789046825,30.74282060277459,685200
2024-06-06,31.4962215423584,31.838680383590184,30.93850867007237,31.075490713572783,832200
2024-06-07,31.173337936401367,31.56471469677723,30.948293593136523,31.016786485754825,522100
2024-06-10,30.527563095092773,31.525580004386924,30.36122694354375,31.525580004386924,713100
2024-06-11,31.153770446777344,31.349460705192424,30.52756460583408,30.52756460583408,618300
2024-06-12,30.556915283203125,31.388597906023026,30.45907015897487,31.241829286560385,522400
2024-06-13,29.549116134643555,30.654761021729712,29.206659126102345,30.654761021729712,1051000
2024-06-14,29.852432250976562,30.06769002049173,29.314285027828006,29.50019056791499,434300
2024-06-17,29.656360626220703,29.999492445466355,29.440678676655025,29.528912626458705,404800
2024-06-18,29.852432250976562,30.048506212789544,29.548514524802215,29.71517842079799,848800
2024-06-19,30.09752655029297,30.136740595267764,29.626944921171237,29.626944921171237,342800
2024-06-20,30.215173721313477,30.59751958199214,30.00929575630741,30.25438964031536,671400
2024-06-21,30.35242462158203,30.440658566289247,29.901452788561034,30.234780608584323,1222800
2024-06-24,30.685754776000977,30.979868570705474,30.20537096822678,30.401446831363113,429900
2024-06-25,30.421052932739258,30.744576778202216,30.264192999782544,30.744576778202216,459000
2024-06-26,29.460283279418945,30.56810865106369,29.372049334069615,30.489678685188494,1436500
2024-06-27,29.744592666625977,29.793610693406745,29.303422945927633,29.51910675156587,1384000
2024-06-28,28.754413604736328,29.979882991010324,28.754413604736328,29.77400503167688,904500
2024-07-01,27.81325340270996,28.83284293733696,27.81325340270996,28.764216952399874,1223700
2024-07-02,26.676015853881836,26.98973757751474,25.891716219594137,26.98973757751474,2337900
2024-07-03,26.803466796875,27.40149646089766,26.79366281731028,26.79366281731028,776700
2024-07-04,27.754430770874023,27.989720674024255,26.68582129203468,27.225028956265483,717400
2024-07-05,27.028949737548828,27.823053295573466,26.872089821640696,27.56815733466102,1099300
2024-07-08,27.38188934326172,27.460319312271874,26.87209360973673,27.25443947492149,567000
2024-07-09,27.205419540405273,27.57796139963617,27.126989576887304,27.381887425800162,690100
2024-07-10,27.40149688720703,27.68580481933556,27.29365498023521,27.36228096833803,652800
2024-07-11,27.774038314819336,28.028936173565295,27.34267256387095,27.401496441217024,555200
2024-07-12,27.84266471862793,27.940702645754513,27.685804783192566,27.744626791501343,1642300
2024-07-15,27.548553466796875,27.930899334835836,27.068169669283883,27.8328614053618,1613400
2024-07-16,27.68580436706543,27.793646272275566,27.44071048789178,27.44071048789178,472700
2024-07-17,28.166189193725586,28.166189193725586,27.4407115087717,27.4407115087717,697000
2024-07-18,28.244617462158203,28.362263344217034,27.79364563242137,28.166187497424932,1221900
2024-07-19,28.303442001342773,28.489712003250236,28.07795421127295,28.07795421127295,1065200
2024-07-22,28.20540428161621,28.3818721751691,27.9995244491652,28.332852277005564,247900
2024-07-23,27.95050621032715,28.14658019175022,27.823056345980145,28.136778082109284,356900
2024-07-24,27.61717987060547,28.00932972446438,27.40149791846257,28.00932972446438,453800
2024-07-25,27.283849716186523,27.8034493972341,27.097577850163002,27.8034493972341,599000
2024-07-26,27.283849716186523,27.617177531210576,27.146597746441742,27.26424175767503,349700
2024-07-29,27.03875732421875,27.519141114531916,27.03875732421875,27.215225220643575,274400
2024-07-30,26.685821533203125,27.156403213674317,26.52896159635204,27.038757326077032,812700
2024-07-31,26.411317825317383,27.13679550750807,26.411317825317383,26.783859711338238,627800
2024-08-01,26.2054386138916,26.74464630091796,26.07799061218312,26.4995524077018,1034100
2024-08-02,26.607391357421875,26.74464520353539,26.23484947778332,26.303475465881114,997200
2024-08-05,26.44072723388672,26.57798107891952,25.646623582279595,26.087793316460175,697700
2024-08-06,27.303457260131836,27.45051320689952,26.29366985113619,26.411315730501027,616000
2024-08-07,27.99952507019043,28.009329050040588,27.440711308157155,27.45051528800731,1062500
2024-08-08,28.54853630065918,29.009312127303655,27.852468700921854,27.999524656666438,765700
2024-08-09,28.950490951538086,29.16617290150479,28.499517221712086,28.55833923171792,735500
2024-08-12,27.891685485839844,28.136779376330814,26.901505943866155,28.097563456291624,2235300
2024-08-13,28.20540428161621,28.35246023627098,27.51914066667007,28.117170334839766,793900
2024-08-14,28.381872177124023,28.940685926801386,28.23481435254121,28.36226421785726,737500
2024-08-15,28.332853317260742,28.5485371372634,27.872077477113404,28.421087267276743,464500
2024-08-16,27.705411911010742,28.55833755059983,27.44071007668949,28.3328516339193,914200
2024-08-19,28.323047637939453,28.54853542440594,27.391692033531662,27.930897811351024,734000
2024-08-20,27.65639305114746,28.67598450902911,27.411299166454906,28.323048716698086,923300
2024-08-21,27.40149688720703,27.999524690615836,27.16620511382889,27.999524690615836,663500
2024-08-22,27.352476119995117,27.587766015983284,27.126990203412856,27.587766015983284,341000
2024-08-23,27.538747787475586,27.803449619745663,27.10738204635967,27.372083878629745,667100
2024-08-26,27.37208366394043,27.803449401672985,27.07797176589241,27.725019437532325,805700
2024-08-27,27.450515747070312,27.832861618030748,27.20542185647147,27.24463777652792,660200
2024-08-28,27.499530792236328,27.695606631399187,27.185810945509978,27.568158644885777,473100
2024-08-29,26.940719604492188,27.470123297859473,26.71523367728077,27.381889348964926,845500
2024-08-30,26.626996994018555,26.950520816769412,26.391707111101365,26.950520816769412,1026100
2024-09-02,26.56817626953125,27.15640194009521,26.332886375289235,26.960326093267938,554100
2024-09-03,26.44072723388672,26.73484101331308,26.146615324378278,26.73484101331308,1325900
2024-09-04,26.999542236328125,27.05836424290094,26.41131656084635,26.45053060858893,523400
2024-09-05,27.19561767578125,27.342673635071833,26.715233878142424,26.97993572681626,726600
2024-09-06,27.215227127075195,27.274049140031316,26.960329244374577,27.19561916611713,525700
2024-09-09,26.6466064453125,27.254438209438767,26.6466064453125,27.244636099945847,426600
