Price,Close,High,Low,Open,Volume
Ticker,MSPA4.SA,MSPA4.SA,MSPA4.SA,MSPA4.SA,MSPA4.SA
Date,,,,,
2024-04-11,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-12,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-15,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-16,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-17,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-18,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-19,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-22,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-23,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-24,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-25,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-26,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-29,36.68218994140625,36.68218994140625,36.68218994140625,36.68218994140625,0
2024-04-30,37.0,37.0,37.0,37.0,0
2024-05-02,37.0,37.0,37.0,37.0,0
2024-05-03,37.0,37.0,37.0,37.0,0
2024-05-06,37.0,37.0,37.0,37.0,0
2024-05-07,37.0,37.0,37.0,37.0,0
2024-05-08,37.0,37.0,37.0,37.0,0
2024-05-09,37.0,37.0,37.0,37.0,0
2024-05-10,37.0,37.0,37.0,37.0,0
2024-05-13,37.0,37.0,37.0,37.0,0
2024-05-14,37.0,37.0,37.0,37.0,0
2024-05-15,37.0,37.0,37.0,37.0,0
2024-05-16,37.0,37.0,37.0,37.0,0
2024-05-17,37.0,37.0,37.0,37.0,0
2024-05-20,37.0,37.0,37.0,37.0,0
2024-05-21,37.0,37.0,37.0,37.0,0
2024-05-22,37.0,37.0,37.0,37.0,0
2024-05-23,37.0,37.0,37.0,37.0,0
2024-05-24,37.0,37.0,37.0,37.0,0
2024-05-27,37.0,37.0,37.0,37.0,0
2024-05-28,37.0,37.0,37.0,37.0,0
2024-05-29,37.0,37.0,37.0,37.0,0
2024-05-31,37.0,37.0,37.0,37.0,0
2024-06-03,37.0,37.0,37.0,37.0,0
2024-06-04,37.0,37.0,37.0,37.0,0
2024-06-05,37.0,37.0,37.0,37.0,0
2024-06-06,37.0,37.0,37.0,37.0,0
2024-06-07,37.0,37.0,37.0,37.0,0
2024-06-10,37.0,37.0,37.0,37.0,0
2024-06-11,37.0,37.0,37.0,37.0,0
2024-06-12,37.0,37.0,37.0,37.0,0
2024-06-13,37.0,37.0,37.0,37.0,0
2024-06-14,37.0,37.0,37.0,37.0,0
2024-06-17,37.0,37.0,37.0,37.0,0
2024-06-18,37.0,37.0,37.0,37.0,0
2024-06-19,37.0,37.0,37.0,37.0,0
2024-06-20,37.0,37.0,37.0,37.0,0
2024-06-21,37.0,37.0,37.0,37.0,0
2024-06-24,37.0,37.0,37.0,37.0,0
2024-06-25,37.0,37.0,37.0,37.0,0
2024-06-26,37.0,37.0,37.0,37.0,0
2024-06-27,37.0,37.0,37.0,37.0,0
2024-06-28,37.0,37.0,37.0,37.0,0
2024-07-01,37.0,37.0,37.0,37.0,0
2024-07-02,37.0,37.0,37.0,37.0,0
2024-07-03,37.0,37.0,37.0,37.0,0
2024-07-04,37.0,37.0,37.0,37.0,0
2024-07-05,37.0,37.0,37.0,37.0,0
2024-07-08,37.0,37.0,37.0,37.0,0
2024-07-09,37.0,37.0,37.0,37.0,0
2024-07-10,37.0,37.0,37.0,37.0,0
2024-07-11,37.0,37.0,37.0,37.0,0
2024-07-12,37.0,37.0,37.0,37.0,0
2024-07-15,37.0,37.0,37.0,37.0,0
2024-07-16,37.0,37.0,37.0,37.0,0
2024-07-17,37.0,37.0,37.0,37.0,0
2024-07-18,37.0,37.0,37.0,37.0,0
2024-07-19,37.0,37.0,37.0,37.0,0
2024-07-22,37.0,37.0,37.0,37.0,0
2024-07-23,37.0,37.0,37.0,37.0,0
2024-07-24,37.0,37.0,37.0,37.0,0
2024-07-25,37.0,37.0,37.0,37.0,0
2024-07-26,37.0,37.0,37.0,37.0,0
2024-07-29,37.0,37.0,37.0,37.0,0
2024-07-30,37.0,37.0,37.0,37.0,0
2024-07-31,37.0,37.0,37.0,37.0,0
2024-08-01,37.0,37.0,37.0,37.0,0
2024-08-02,37.0,37.0,37.0,37.0,0
2024-08-05,37.0,37.0,37.0,37.0,0
2024-08-06,37.0,37.0,37.0,37.0,0
2024-08-07,37.0,37.0,37.0,37.0,0
2024-08-08,37.0,37.0,37.0,37.0,0
2024-08-09,37.0,37.0,37.0,37.0,0
2024-08-12,37.0,37.0,37.0,37.0,0
2024-08-13,37.0,37.0,37.0,37.0,0
2024-08-14,37.0,37.0,37.0,37.0,0
2024-08-15,37.0,37.0,37.0,37.0,0
2024-08-16,37.0,37.0,37.0,37.0,0
2024-08-19,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,200
2024-08-20,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-21,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-22,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,1200
2024-08-23,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-26,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-27,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-28,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-29,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-08-30,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-09-02,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-09-03,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-09-04,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
2024-09-05,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,0
