Price,Close,High,Low,Open,Volume
Ticker,NGRD3.SA,NGRD3.SA,NGRD3.SA,NGRD3.SA,NGRD3.SA
Date,,,,,
2024-04-11,26.5,26.5,26.0,26.25,31256
2024-04-12,26.0,26.75,25.75,26.75,13872
2024-04-15,25.0,26.0,25.0,25.75,27708
2024-04-16,24.75,25.5,24.25,25.5,38936
2024-04-17,24.5,25.25,24.25,24.25,13992
2024-04-18,24.5,25.0,24.25,24.75,13796
2024-04-19,25.75,26.25,24.25,24.25,15368
2024-04-22,26.0,26.25,25.0,25.5,7224
2024-04-23,25.5,26.25,25.25,26.0,12316
2024-04-24,25.75,26.25,25.25,25.75,9532
2024-04-25,25.5,25.75,25.25,25.75,4156
2024-04-26,25.25,26.5,25.25,25.5,25064
2024-04-29,25.5,25.75,25.0,25.25,13676
2024-04-30,25.75,26.25,24.75,25.5,94660
2024-05-02,26.5,28.25,25.5,25.75,104620
2024-05-03,26.5,27.5,25.75,27.0,44656
2024-05-06,27.25,28.0,26.75,27.0,40840
2024-05-07,26.0,27.25,25.25,26.25,46956
2024-05-08,26.5,26.5,25.75,26.0,12616
2024-05-09,26.0,26.5,25.25,26.5,24268
2024-05-10,25.0,26.25,25.0,26.25,23428
2024-05-13,24.75,25.25,24.5,25.25,35984
2024-05-14,25.25,25.5,24.5,24.75,38312
2024-05-15,24.75,25.25,24.5,25.0,16892
2024-05-16,24.5,25.0,24.25,24.75,24752
2024-05-17,24.5,24.75,24.0,24.25,42400
2024-05-20,24.75,24.75,24.25,24.75,13132
2024-05-21,24.5,25.0,24.25,25.0,22720
2024-05-22,24.0,24.75,23.75,24.75,27812
2024-05-23,23.5,24.0,23.25,24.0,25356
2024-05-24,23.75,24.0,23.5,23.5,11972
2024-05-27,24.0,24.25,23.5,23.75,31048
2024-05-28,23.5,24.25,23.25,24.0,19928
2024-05-29,23.75,24.0,23.25,23.5,10948
2024-05-31,24.25,24.25,23.25,23.75,17836
2024-06-03,23.5,24.25,23.25,23.75,27864
2024-06-04,23.0,24.25,23.0,23.75,27360
2024-06-05,22.25,22.75,22.0,22.5,25548
2024-06-06,22.25,23.0,22.25,22.75,23236
2024-06-07,21.0,22.75,21.0,22.25,43888
2024-06-10,21.0,22.0,21.0,21.25,29476
2024-06-11,21.0,22.5,20.75,21.0,39732
2024-06-12,20.5,22.5,20.5,21.5,34156
2024-06-13,20.25,21.5,20.25,20.5,18780
2024-06-14,20.0,20.75,19.25,20.5,38760
2024-06-17,20.5,20.75,19.75,20.0,10332
2024-06-18,19.75,21.25,19.5,20.5,26048
2024-06-19,20.25,20.25,19.25,19.5,15244
2024-06-20,19.75,20.75,19.5,20.25,9692
2024-06-21,19.75,20.5,19.5,19.75,14196
2024-06-24,20.0,20.25,19.5,20.0,11836
2024-06-25,20.0,20.0,19.5,20.0,9436
2024-06-26,20.0,20.25,19.75,20.0,9512
2024-06-27,20.75,21.0,19.75,19.75,12168
2024-06-28,20.25,21.25,20.25,20.75,8788
2024-07-01,22.25,23.75,20.25,20.5,76940
2024-07-02,23.0,23.75,22.0,22.5,43448
2024-07-03,23.5,23.75,22.75,23.5,19560
2024-07-04,23.5,24.5,23.0,23.75,17376
2024-07-05,23.0,24.25,23.0,23.75,8160
2024-07-08,23.5,24.25,23.0,23.0,12128
2024-07-09,23.0,24.75,23.0,23.75,25088
2024-07-10,23.75,24.25,23.0,23.25,17952
2024-07-11,24.0,24.5,23.25,24.25,29772
2024-07-12,24.75,25.75,24.25,24.5,53792
2024-07-15,25.5,26.25,24.75,25.0,38612
2024-07-16,27.25,28.0,24.75,25.5,105000
2024-07-17,28.25,29.5,27.25,27.25,70632
2024-07-18,28.0,29.5,27.0,28.25,99808
2024-07-19,27.5,28.0,25.5,28.0,59176
2024-07-22,27.0,28.25,26.75,27.75,24160
2024-07-23,27.25,28.75,26.5,27.25,45368
2024-07-24,27.5,28.5,26.75,28.0,33584
2024-07-25,27.25,28.5,26.75,27.5,57000
2024-07-26,27.75,28.0,27.0,27.0,13248
2024-07-29,28.0,28.25,27.25,27.75,15676
2024-07-30,28.75,29.0,27.5,28.0,37012
2024-07-31,29.5,30.0,28.5,28.5,34648
2024-08-01,29.5,30.0,29.25,29.5,36528
2024-08-02,28.75,30.0,28.5,29.5,20316
2024-08-05,29.0,30.25,26.5,28.0,49516
2024-08-06,28.5,29.25,28.0,28.5,32668
2024-08-07,29.5,29.5,28.25,28.25,29036
2024-08-08,30.25,30.5,29.25,29.25,29240
2024-08-09,29.5,30.5,29.0,30.5,20984
2024-08-12,30.0,30.25,29.5,29.5,11156
2024-08-13,30.25,30.5,29.75,30.25,14312
2024-08-14,30.25,30.25,29.5,29.75,17440
2024-08-15,29.75,30.5,29.75,30.0,24064
2024-08-16,29.75,30.25,29.5,29.75,25420
2024-08-19,29.0,30.0,29.0,30.0,34420
2024-08-20,30.0,30.0,28.75,28.75,39336
2024-08-21,32.25,32.5,29.5,29.75,65740
2024-08-22,33.0,33.25,31.0,32.0,61436
2024-08-23,33.75,34.0,32.5,33.25,57056
2024-08-26,33.75,35.0,32.75,33.5,42276
2024-08-27,33.5,34.0,33.5,33.75,8340
2024-08-28,33.75,34.0,33.0,34.0,16192
2024-08-29,33.5,34.5,32.5,33.25,19384
2024-08-30,32.75,33.75,32.75,33.75,10444
2024-09-02,33.5,33.75,32.25,32.5,19756
2024-09-03,32.25,34.0,32.25,34.0,22800
2024-09-04,32.5,32.75,31.75,32.25,14264
2024-09-05,31.5,33.0,31.5,33.0,11620
2024-09-06,28.75,31.5,27.75,31.0,50664
2024-09-09,26.5,29.25,25.5,28.5,64744
2024-09-10,28.0,28.0,26.5,26.75,15956
2024-09-11,29.25,29.5,27.75,28.0,20924
2024-09-12,29.25,29.75,28.5,29.75,17364
2024-09-13,29.0,30.25,28.75,29.25,20692
2024-09-16,29.0,30.5,28.25,28.75,18192
2024-09-17,28.0,29.75,28.0,29.75,17540
2024-09-18,29.0,29.5,27.75,28.25,17516
2024-09-19,28.5,29.25,28.5,29.0,11172
2024-09-20,27.25,28.75,27.25,28.5,27028
2024-09-23,28.5,29.0,26.75,27.25,18684
2024-09-24,28.75,29.0,28.0,28.75,8568
2024-09-25,28.25,29.0,28.0,28.5,20664
2024-09-26,28.25,28.75,27.75,28.75,10736
2024-09-27,28.5,28.5,27.75,28.25,19052
2024-09-30,28.5,28.75,27.75,28.25,26112
2024-10-01,26.25,29.5,26.25,28.5,49048
2024-10-02,28.75,29.5,27.0,27.0,38532
2024-10-03,28.75,29.5,28.25,28.5,14684
2024-10-04,29.0,29.5,28.25,28.5,18608
2024-10-07,28.75,29.75,28.75,29.0,29112
2024-10-08,31.0,31.040000915527344,29.5,29.56999969482422,121800
2024-10-09,31.299999237060547,33.95000076293945,29.6299991607666,30.920000076293945,124600
2024-10-10,30.329999923706055,32.22999954223633,29.219999313354492,31.610000610351562,70600
2024-10-11,31.5,31.969999313354492,29.989999771118164,30.0,25600
2024-10-14,31.549999237060547,32.0,31.0,31.450000762939453,50200
2024-10-15,31.18000030517578,32.47999954223633,30.719999313354492,31.5,30500
2024-10-16,30.610000610351562,31.520000457763672,30.15999984741211,30.899999618530273,19700
2024-10-17,30.610000610351562,31.559999465942383,30.520000457763672,31.0,4900
2024-10-18,30.610000610351562,31.31999969482422,30.610000610351562,30.920000076293945,46600
2024-10-21,28.65999984741211,31.989999771118164,28.65999984741211,31.989999771118164,31300
2024-10-22,27.0,28.809999465942383,27.0,28.610000610351562,24800
2024-10-23,25.010000228881836,27.010000228881836,25.010000228881836,27.0,17800
2024-10-24,24.100000381469727,25.34000015258789,24.010000228881836,25.34000015258789,23000
2024-10-25,24.760000228881836,24.760000228881836,23.299999237060547,24.010000228881836,23600
2024-10-28,25.100000381469727,25.350000381469727,23.700000762939453,24.18000030517578,20300
2024-10-29,24.5,25.6200008392334,24.440000534057617,25.100000381469727,19200
2024-10-30,24.010000228881836,24.75,23.799999237060547,24.219999313354492,20200
2024-10-31,23.90999984741211,24.860000610351562,23.709999084472656,24.31999969482422,19500
2024-11-01,24.1299991607666,24.260000228881836,23.510000228881836,23.520000457763672,10900
