Date,Close,High,Low,Open,Volume
2024-04-16,33.75,35.0,32.5,33.75,15161
2024-04-17,33.75,35.0,33.75,35.0,6925
2024-04-18,32.5,35.0,31.25,35.0,28370
2024-04-19,30.0,32.5,28.75,32.5,44584
2024-04-22,31.25,31.25,27.5,30.0,31208
2024-04-23,30.0,31.25,28.75,30.0,25948
2024-04-24,28.75,31.25,28.75,30.0,14180
2024-04-25,27.5,30.0,27.5,28.75,20951
2024-04-26,27.5,30.0,27.5,28.75,20412
2024-04-29,27.5,28.75,26.25,27.5,17908
2024-04-30,26.25,27.5,25.0,27.5,19555
2024-05-02,26.25,26.25,25.0,26.25,10752
2024-05-03,25.0,26.25,25.0,26.25,7097
2024-05-06,25.0,26.25,25.0,25.0,5670
2024-05-07,27.5,30.0,26.25,26.25,50307
2024-05-08,30.0,31.25,27.5,28.75,28033
2024-05-09,28.75,31.25,27.5,30.0,34077
2024-05-10,27.5,28.75,26.25,28.75,19596
2024-05-13,27.5,28.75,26.25,27.5,14052
2024-05-14,27.5,28.75,26.25,27.5,8566
2024-05-15,27.5,28.75,26.25,27.5,19728
2024-05-16,28.75,30.0,27.5,27.5,20093
2024-05-17,30.0,31.25,28.75,28.75,22608
2024-05-20,32.5,33.75,28.75,31.25,43443
2024-05-21,37.5,42.5,33.75,35.0,105647
2024-05-22,36.25,40.0,35.0,38.75,33596
2024-05-23,33.75,37.5,32.5,36.25,44736
2024-05-24,32.5,35.0,32.5,33.75,6598
2024-05-27,31.25,33.75,30.0,32.5,21374
2024-05-28,31.25,33.75,31.25,31.25,18160
2024-05-29,30.0,32.5,28.75,31.25,43112
2024-05-31,27.5,30.0,27.5,30.0,19813
2024-06-03,25.0,27.5,23.75,27.5,61568
2024-06-04,25.0,26.25,23.75,25.0,15889
2024-06-05,26.25,26.25,25.0,25.0,11850
2024-06-06,26.25,26.25,25.0,26.25,5449
2024-06-07,23.75,25.0,23.75,25.0,11624
2024-06-10,23.75,25.0,23.75,25.0,4779
2024-06-11,25.0,25.0,23.75,23.75,4728
2024-06-12,23.75,25.0,23.75,25.0,2056
2024-06-13,25.0,25.0,23.75,25.0,4995
2024-06-14,23.75,26.25,23.75,23.75,12938
2024-06-17,25.0,25.0,23.75,23.75,5002
2024-06-18,22.5,25.0,22.5,23.75,20761
2024-06-19,22.5,23.75,21.25,22.5,16069
2024-06-20,22.5,22.5,21.25,22.5,4116
