Price,Close,High,Low,Open,Volume
Ticker,QUAL3.SA,QUAL3.SA,QUAL3.SA,QUAL3.SA,QUAL3.SA
Date,,,,,
2024-04-11,1.559999942779541,1.6100000143051147,1.559999942779541,1.5700000524520874,6041400
2024-04-12,1.4700000286102295,1.5800000429153442,1.4600000381469727,1.559999942779541,7762100
2024-04-15,1.3700000047683716,1.4800000190734863,1.3700000047683716,1.4800000190734863,8344600
2024-04-16,1.3600000143051147,1.4500000476837158,1.350000023841858,1.3700000047683716,9196600
2024-04-17,1.350000023841858,1.409999966621399,1.340000033378601,1.399999976158142,6304300
2024-04-18,1.350000023841858,1.3899999856948853,1.340000033378601,1.3600000143051147,4813400
2024-04-19,1.4700000286102295,1.4900000095367432,1.350000023841858,1.350000023841858,11069500
2024-04-22,1.6200000047683716,1.6399999856948853,1.4700000286102295,1.4700000286102295,9068600
2024-04-23,1.6100000143051147,1.649999976158142,1.5299999713897705,1.590000033378601,7310200
2024-04-24,1.5800000429153442,1.6399999856948853,1.5499999523162842,1.6100000143051147,4378800
2024-04-25,1.7000000476837158,1.7300000190734863,1.5299999713897705,1.5700000524520874,8227100
2024-04-26,1.7100000381469727,1.75,1.690000057220459,1.7100000381469727,4648900
2024-04-29,1.690000057220459,1.7400000095367432,1.649999976158142,1.690000057220459,4200600
2024-04-30,1.600000023841858,1.690000057220459,1.600000023841858,1.690000057220459,4300700
2024-05-02,1.6200000047683716,1.659999966621399,1.600000023841858,1.6399999856948853,3725700
2024-05-03,1.7000000476837158,1.7300000190734863,1.6399999856948853,1.6399999856948853,6370600
2024-05-06,1.690000057220459,1.7200000286102295,1.6699999570846558,1.7100000381469727,3480600
2024-05-07,1.7100000381469727,1.7599999904632568,1.690000057220459,1.7000000476837158,3598400
2024-05-08,1.6799999475479126,1.7200000286102295,1.649999976158142,1.7200000286102295,4435300
2024-05-09,1.659999966621399,1.8200000524520874,1.6299999952316284,1.7000000476837158,8297800
2024-05-10,1.6299999952316284,1.7300000190734863,1.6100000143051147,1.659999966621399,6317500
2024-05-13,1.659999966621399,1.6799999475479126,1.6200000047683716,1.6299999952316284,2793700
2024-05-14,1.6299999952316284,1.7100000381469727,1.6299999952316284,1.649999976158142,4800000
2024-05-15,1.649999976158142,1.690000057220459,1.6200000047683716,1.6399999856948853,5024400
2024-05-16,1.6299999952316284,1.659999966621399,1.6100000143051147,1.6299999952316284,4265200
2024-05-17,1.6200000047683716,1.649999976158142,1.6100000143051147,1.6299999952316284,3663500
2024-05-20,1.7000000476837158,1.7100000381469727,1.5700000524520874,1.6100000143051147,7555100
2024-05-21,1.7100000381469727,1.7400000095367432,1.6699999570846558,1.7000000476837158,4636500
2024-05-22,1.6100000143051147,1.7100000381469727,1.600000023841858,1.7100000381469727,4909500
2024-05-23,1.6100000143051147,1.649999976158142,1.600000023841858,1.6200000047683716,3639400
2024-05-24,1.649999976158142,1.6699999570846558,1.6100000143051147,1.6299999952316284,2759600
2024-05-27,1.6799999475479126,1.690000057220459,1.6100000143051147,1.649999976158142,2670400
2024-05-28,1.659999966621399,1.7200000286102295,1.649999976158142,1.6799999475479126,2269300
2024-05-29,1.6799999475479126,1.7000000476837158,1.649999976158142,1.6699999570846558,2252800
2024-05-31,1.6399999856948853,1.7000000476837158,1.6299999952316284,1.7000000476837158,2226700
2024-06-03,1.75,1.7799999713897705,1.5800000429153442,1.649999976158142,8825200
2024-06-04,1.7799999713897705,1.7899999618530273,1.7000000476837158,1.7300000190734863,4605100
2024-06-05,1.6100000143051147,1.899999976158142,1.600000023841858,1.809999942779541,11854100
2024-06-06,1.7200000286102295,1.7400000095367432,1.600000023841858,1.6100000143051147,9350300
2024-06-07,1.6699999570846558,1.75,1.659999966621399,1.690000057220459,3588300
2024-06-10,1.6799999475479126,1.7100000381469727,1.6399999856948853,1.6699999570846558,2379300
2024-06-11,1.75,1.7799999713897705,1.6799999475479126,1.7100000381469727,2219200
2024-06-12,1.7200000286102295,1.809999942779541,1.690000057220459,1.75,3625200
2024-06-13,1.7300000190734863,1.7699999809265137,1.6799999475479126,1.7000000476837158,1694200
2024-06-14,1.7400000095367432,1.7899999618530273,1.7000000476837158,1.7000000476837158,1503600
2024-06-17,1.5399999618530273,1.75,1.5399999618530273,1.75,8523100
2024-06-18,1.409999966621399,1.559999942779541,1.409999966621399,1.5499999523162842,12152900
2024-06-19,1.4299999475479126,1.440000057220459,1.3799999952316284,1.4199999570846558,4012900
2024-06-20,1.409999966621399,1.4800000190734863,1.399999976158142,1.4500000476837158,3488000
2024-06-21,1.3899999856948853,1.4299999475479126,1.3700000047683716,1.4299999475479126,4115700
2024-06-24,1.4900000095367432,1.5,1.399999976158142,1.399999976158142,5038800
2024-06-25,1.4700000286102295,1.5,1.4500000476837158,1.4900000095367432,2326800
2024-06-26,1.409999966621399,1.4700000286102295,1.409999966621399,1.4600000381469727,2887700
2024-06-27,1.440000057220459,1.440000057220459,1.399999976158142,1.4199999570846558,3926100
2024-06-28,1.399999976158142,1.4600000381469727,1.3799999952316284,1.4199999570846558,3733700
2024-07-01,1.409999966621399,1.4299999475479126,1.3799999952316284,1.399999976158142,2619600
2024-07-02,1.399999976158142,1.4299999475479126,1.3899999856948853,1.399999976158142,2345900
2024-07-03,1.559999942779541,1.5700000524520874,1.409999966621399,1.409999966621399,8786800
2024-07-04,1.7799999713897705,1.7799999713897705,1.559999942779541,1.559999942779541,8887800
2024-07-05,1.7699999809265137,1.7999999523162842,1.690000057220459,1.7300000190734863,4398400
2024-07-08,1.7699999809265137,1.7999999523162842,1.7400000095367432,1.7599999904632568,2047500
2024-07-09,1.809999942779541,1.840000033378601,1.7599999904632568,1.7599999904632568,3931200
2024-07-10,1.840000033378601,1.899999976158142,1.8200000524520874,1.8200000524520874,4398600
2024-07-11,1.8899999856948853,1.9199999570846558,1.8300000429153442,1.8300000429153442,2619900
2024-07-12,1.850000023841858,1.899999976158142,1.8300000429153442,1.899999976158142,2663800
2024-07-15,1.809999942779541,1.8700000047683716,1.7999999523162842,1.8200000524520874,2363700
2024-07-16,1.7899999618530273,1.8799999952316284,1.7799999713897705,1.7999999523162842,3377200
2024-07-17,1.7899999618530273,1.8700000047683716,1.7899999618530273,1.7999999523162842,3543800
2024-07-18,1.6399999856948853,1.8200000524520874,1.6299999952316284,1.8200000524520874,5315400
2024-07-19,1.6200000047683716,1.6699999570846558,1.6100000143051147,1.649999976158142,2940500
2024-07-22,1.659999966621399,1.6699999570846558,1.6200000047683716,1.6399999856948853,2154400
2024-07-23,1.590000033378601,1.659999966621399,1.590000033378601,1.6399999856948853,3179400
2024-07-24,1.559999942779541,1.6100000143051147,1.5399999618530273,1.600000023841858,2436200
2024-07-25,1.5399999618530273,1.5800000429153442,1.5299999713897705,1.5499999523162842,1839300
2024-07-26,1.5700000524520874,1.600000023841858,1.5299999713897705,1.5399999618530273,1697900
2024-07-29,1.5199999809265137,1.590000033378601,1.5,1.5700000524520874,1561800
2024-07-30,1.4900000095367432,1.5199999809265137,1.4700000286102295,1.5199999809265137,2086600
2024-07-31,1.5,1.5499999523162842,1.4900000095367432,1.5099999904632568,2628100
2024-08-01,1.4900000095367432,1.559999942779541,1.4800000190734863,1.5199999809265137,2010500
2024-08-02,1.5299999713897705,1.5800000429153442,1.4900000095367432,1.4900000095367432,3080300
2024-08-05,1.440000057220459,1.4600000381469727,1.3700000047683716,1.4299999475479126,8382600
2024-08-06,1.4600000381469727,1.5199999809265137,1.4299999475479126,1.4600000381469727,2399700
2024-08-07,1.5199999809265137,1.559999942779541,1.4700000286102295,1.4700000286102295,4034500
2024-08-08,1.590000033378601,1.6399999856948853,1.5299999713897705,1.559999942779541,4338000
2024-08-09,1.6399999856948853,1.690000057220459,1.590000033378601,1.590000033378601,4998100
2024-08-12,1.6200000047683716,1.7000000476837158,1.6200000047683716,1.6200000047683716,2150400
2024-08-13,1.6299999952316284,1.6399999856948853,1.590000033378601,1.6399999856948853,2278100
2024-08-14,1.5800000429153442,1.659999966621399,1.5700000524520874,1.6299999952316284,2184000
2024-08-15,1.6200000047683716,1.659999966621399,1.559999942779541,1.5700000524520874,3857400
2024-08-16,1.590000033378601,1.659999966621399,1.5800000429153442,1.6200000047683716,2847600
2024-08-19,1.7899999618530273,1.7899999618530273,1.600000023841858,1.600000023841858,7165500
2024-08-20,1.8600000143051147,1.8799999952316284,1.7300000190734863,1.7799999713897705,5707000
2024-08-21,1.8799999952316284,1.909999966621399,1.8200000524520874,1.8200000524520874,4299400
2024-08-22,1.8200000524520874,1.9199999570846558,1.8200000524520874,1.899999976158142,2421200
2024-08-23,1.9800000190734863,1.9900000095367432,1.8300000429153442,1.840000033378601,4520700
2024-08-26,2.0199999809265137,2.059999942779541,1.940000057220459,1.9700000286102295,5223700
2024-08-27,2.109999895095825,2.140000104904175,2.0,2.0,4625800
2024-08-28,2.0799999237060547,2.109999895095825,1.9900000095367432,2.0799999237060547,4383200
2024-08-29,1.9800000190734863,2.0899999141693115,1.9600000381469727,2.0899999141693115,3353800
2024-08-30,2.2699999809265137,2.299999952316284,1.9199999570846558,1.9600000381469727,12843600
2024-09-02,2.240000009536743,2.4200000762939453,2.2300000190734863,2.2699999809265137,11527000
2024-09-03,2.200000047683716,2.3399999141693115,2.140000104904175,2.240000009536743,5973700
2024-09-04,2.200000047683716,2.259999990463257,2.180000066757202,2.200000047683716,3570300
2024-09-05,2.2200000286102295,2.299999952316284,2.1700000762939453,2.1700000762939453,4251700
2024-09-06,2.140000104904175,2.2799999713897705,2.130000114440918,2.200000047683716,4275100
2024-09-09,2.0799999237060547,2.1600000858306885,2.0399999618530273,2.140000104904175,3310300
2024-09-10,2.0899999141693115,2.0999999046325684,2.0199999809265137,2.049999952316284,2193700
2024-09-11,2.0899999141693115,2.119999885559082,2.0299999713897705,2.0999999046325684,2937200
2024-09-12,2.109999895095825,2.1600000858306885,2.0299999713897705,2.0899999141693115,3805900
2024-09-13,2.1500000953674316,2.2200000286102295,2.0899999141693115,2.119999885559082,3563300
2024-09-16,2.2100000381469727,2.2200000286102295,2.1600000858306885,2.1600000858306885,2395900
2024-09-17,2.1700000762939453,2.200000047683716,2.140000104904175,2.180000066757202,2239400
2024-09-18,2.119999885559082,2.240000009536743,2.0999999046325684,2.140000104904175,3915000
2024-09-19,2.0,2.1600000858306885,2.0,2.1500000953674316,4700200
2024-09-20,1.8700000047683716,2.0399999618530273,1.8700000047683716,2.0199999809265137,5480200
2024-09-23,1.7799999713897705,1.8700000047683716,1.7699999809265137,1.8700000047683716,3894400
2024-09-24,1.9199999570846558,1.9600000381469727,1.7999999523162842,1.809999942779541,5782000
2024-09-25,1.899999976158142,1.940000057220459,1.850000023841858,1.909999966621399,2736500
2024-09-26,1.9800000190734863,2.0199999809265137,1.9199999570846558,1.9199999570846558,3527200
2024-09-27,2.309999942779541,2.3499999046325684,1.9800000190734863,1.9900000095367432,13824200
2024-09-30,2.240000009536743,2.440000057220459,2.190000057220459,2.309999942779541,6532600
