Price,Close,High,Low,Open,Volume
Ticker,SOND5.SA,SOND5.SA,SOND5.SA,SOND5.SA,SOND5.SA
Date,,,,,
2024-04-11,50.05628204345703,50.05628204345703,50.05628204345703,50.05628204345703,0
2024-04-12,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,100
2024-04-15,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-16,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-17,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-18,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-19,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-22,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-23,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-24,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-25,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-26,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-29,50.660804748535156,50.660804748535156,50.660804748535156,50.660804748535156,0
2024-04-30,54.956573486328125,54.956573486328125,54.956573486328125,54.956573486328125,100
2024-05-02,60.0,60.0,60.0,60.0,0
2024-05-03,60.0,60.0,60.0,60.0,0
2024-05-06,60.0,60.0,60.0,60.0,0
2024-05-07,60.0,60.0,60.0,60.0,0
2024-05-08,60.0,60.0,60.0,60.0,0
2024-05-09,60.0,60.0,60.0,60.0,0
2024-05-10,60.0,60.0,60.0,60.0,0
2024-05-13,60.0,60.0,60.0,60.0,0
2024-05-14,60.0,60.0,60.0,60.0,0
2024-05-15,60.0,60.0,60.0,60.0,0
2024-05-16,60.0,60.0,60.0,60.0,0
2024-05-17,60.0,60.0,60.0,60.0,0
2024-05-20,60.0,60.0,60.0,60.0,0
2024-05-21,60.0,60.0,60.0,60.0,0
2024-05-22,60.0,60.0,60.0,60.0,0
2024-05-23,60.0,60.0,60.0,60.0,0
2024-05-24,60.0,60.0,60.0,60.0,0
2024-05-27,60.0,60.0,60.0,60.0,0
2024-05-28,60.0,60.0,60.0,60.0,0
2024-05-29,60.0,60.0,60.0,60.0,0
2024-05-31,60.0,60.0,60.0,60.0,0
2024-06-03,60.0,60.0,60.0,60.0,0
2024-06-04,60.0,60.0,60.0,60.0,0
2024-06-05,60.0,60.0,60.0,60.0,0
2024-06-06,60.0,60.0,60.0,60.0,0
2024-06-07,60.0,60.0,60.0,60.0,0
2024-06-10,60.0,60.0,60.0,60.0,0
2024-06-11,60.0,60.0,60.0,60.0,0
2024-06-12,60.0,60.0,60.0,60.0,0
2024-06-13,60.0,60.0,60.0,60.0,0
2024-06-14,60.0,60.0,60.0,60.0,0
2024-06-17,60.0,60.0,60.0,60.0,0
2024-06-18,60.0,60.0,60.0,60.0,0
2024-06-19,60.0,60.0,60.0,60.0,0
2024-06-20,60.0,60.0,60.0,60.0,0
2024-06-21,60.0,60.0,60.0,60.0,0
2024-06-24,60.0,60.0,60.0,60.0,0
2024-06-25,60.0,60.0,60.0,60.0,0
2024-06-26,60.0,60.0,60.0,60.0,0
2024-06-27,60.0,60.0,60.0,60.0,0
2024-06-28,60.0,60.0,60.0,60.0,0
2024-07-01,60.0,60.0,60.0,60.0,0
2024-07-02,60.0,60.0,60.0,60.0,0
2024-07-03,60.0,60.0,60.0,60.0,0
2024-07-04,60.0,60.0,60.0,60.0,0
2024-07-05,60.0,60.0,60.0,60.0,0
2024-07-08,60.0,60.0,60.0,60.0,0
2024-07-09,60.0,60.0,60.0,60.0,0
2024-07-10,60.0,60.0,60.0,60.0,0
2024-07-11,60.0,60.0,60.0,60.0,0
2024-07-12,60.0,60.0,60.0,60.0,0
2024-07-15,60.0,60.0,60.0,60.0,0
2024-07-16,60.0,60.0,60.0,60.0,0
2024-07-17,60.0,60.0,60.0,60.0,0
2024-07-18,60.0,60.0,60.0,60.0,0
2024-07-19,60.0,60.0,60.0,60.0,0
2024-07-22,60.0,60.0,60.0,60.0,0
2024-07-23,60.0,60.0,60.0,60.0,0
2024-07-24,60.0,60.0,60.0,60.0,0
2024-07-25,60.0,60.0,60.0,60.0,0
2024-07-26,60.0,60.0,60.0,60.0,0
2024-07-29,60.0,60.0,60.0,60.0,0
2024-07-30,60.0,60.0,60.0,60.0,0
2024-07-31,60.0,60.0,60.0,60.0,0
2024-08-01,60.0,60.0,60.0,60.0,0
2024-08-02,60.0,60.0,60.0,60.0,0
2024-08-05,60.0,60.0,60.0,60.0,0
2024-08-06,60.0,60.0,60.0,60.0,0
2024-08-07,60.0,60.0,60.0,60.0,0
2024-08-08,60.0,60.0,60.0,60.0,0
2024-08-09,60.0,60.0,60.0,60.0,0
2024-08-12,60.0,60.0,60.0,60.0,0
2024-08-13,60.0,60.0,60.0,60.0,0
2024-08-14,60.0,60.0,60.0,60.0,0
2024-08-15,60.0,60.0,60.0,60.0,0
2024-08-16,60.0,60.0,60.0,60.0,0
2024-08-19,60.0,60.0,60.0,60.0,0
2024-08-20,60.0,60.0,60.0,60.0,0
2024-08-21,60.0,60.0,60.0,60.0,0
2024-08-22,60.0,60.0,60.0,60.0,0
2024-08-23,60.0,60.0,60.0,60.0,0
2024-08-26,60.0,60.0,60.0,60.0,0
2024-08-27,60.0,60.0,60.0,60.0,0
2024-08-28,60.0,60.0,60.0,60.0,0
2024-08-29,60.0,60.0,60.0,60.0,0
2024-08-30,60.0,60.0,60.0,60.0,0
2024-09-02,60.0,60.0,60.0,60.0,0
2024-09-03,60.0,60.0,60.0,60.0,0
2024-09-04,60.0,60.0,60.0,60.0,0
2024-09-05,60.0,60.0,60.0,60.0,0
2024-09-06,60.0,60.0,60.0,60.0,0
2024-09-09,60.0,60.0,60.0,60.0,0
2024-09-10,60.0,60.0,60.0,60.0,0
2024-09-11,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,100
2024-09-12,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-13,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-16,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-17,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-18,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-19,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-20,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-23,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-24,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-25,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-26,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-27,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-09-30,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-10-01,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-10-02,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-10-03,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-10-04,51.9900016784668,51.9900016784668,51.9900016784668,51.9900016784668,0
2024-10-07,47.0,47.0099983215332,47.0,47.0099983215332,300
2024-10-08,47.0,47.0,47.0,47.0,0
2024-10-09,47.0,47.0,47.0,47.0,0
2024-10-10,47.0,47.0,47.0,47.0,0
2024-10-11,47.0,47.0,47.0,47.0,0
2024-10-14,47.0,47.0,47.0,47.0,0
2024-10-15,47.0,47.0,47.0,47.0,0
2024-10-16,47.0,47.0,47.0,47.0,0
2024-10-17,47.0,47.0,47.0,47.0,0
2024-10-18,47.0,47.0,47.0,47.0,0
2024-10-21,47.0,47.0,47.0,47.0,0
2024-10-22,47.0,47.0,47.0,47.0,0
2024-10-23,47.0,47.0,47.0,47.0,0
2024-10-24,47.0,47.0,47.0,47.0,0
2024-10-25,47.0,47.0,47.0,47.0,0
2024-10-28,47.0,47.0,47.0,47.0,0
2024-10-29,47.0,47.0,47.0,47.0,0
2024-10-30,47.0,47.0,47.0,47.0,0
2024-10-31,47.0,47.0,47.0,47.0,0
2024-11-01,47.0,47.0,47.0,47.0,0
2024-11-04,47.0,47.0,47.0,47.0,0
2024-11-05,47.0,47.0,47.0,47.0,0
2024-11-06,47.0,47.0,47.0,47.0,0
2024-11-07,47.0,47.0,47.0,47.0,0
2024-11-08,47.0,47.0,47.0,47.0,0
2024-11-11,47.0,47.0,47.0,47.0,0
2024-11-12,47.0,47.0,47.0,47.0,0
2024-11-13,47.0,47.0,47.0,47.0,0
2024-11-14,47.0,47.0,47.0,47.0,0
2024-11-18,47.0,47.0,47.0,47.0,0
2024-11-19,47.0,47.0,47.0,47.0,0
2024-11-21,47.0,47.0,47.0,47.0,0
2024-11-22,47.0,47.0,47.0,47.0,0
2024-11-25,47.0,47.0,47.0,47.0,0
2024-11-26,47.0,47.0,47.0,47.0,0
2024-11-27,47.0,47.0,47.0,47.0,0
2024-11-28,40.0099983215332,40.0099983215332,40.0099983215332,40.0099983215332,100
2024-11-29,40.0099983215332,40.0099983215332,40.0099983215332,40.0099983215332,0
2024-12-02,40.0099983215332,40.0099983215332,40.0099983215332,40.0099983215332,0
2024-12-03,40.0099983215332,40.0099983215332,40.0099983215332,40.0099983215332,0
2024-12-04,40.060001373291016,40.060001373291016,40.060001373291016,40.060001373291016,100
2024-12-05,40.060001373291016,40.060001373291016,40.060001373291016,40.060001373291016,0
2024-12-06,40.099998474121094,40.099998474121094,40.06999969482422,40.06999969482422,200
2024-12-09,40.099998474121094,40.099998474121094,40.099998474121094,40.099998474121094,0
2024-12-10,40.099998474121094,40.099998474121094,40.099998474121094,40.099998474121094,0
2024-12-11,40.0,40.0,40.0,40.0,500
2024-12-12,40.0,40.0,40.0,40.0,0
2024-12-13,40.0,40.0,40.0,40.0,0
2024-12-16,40.0,40.0,40.0,40.0,0
2024-12-17,40.0,40.0,40.0,40.0,0
