Price,Close,High,Low,Open,Volume
Ticker,TXRX3.SA,TXRX3.SA,TXRX3.SA,TXRX3.SA,TXRX3.SA
Date,,,,,
2024-04-11,8.5,8.5,8.5,8.5,100
2024-04-12,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,100
2024-04-15,8.699999809265137,8.699999809265137,8.699999809265137,8.699999809265137,0
2024-04-16,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,100
2024-04-17,9.0,9.0,9.0,9.0,100
2024-04-18,9.0,9.0,9.0,9.0,0
2024-04-19,9.0,9.0,9.0,9.0,0
2024-04-22,9.0,9.0,9.0,9.0,0
2024-04-23,9.0,9.0,9.0,9.0,0
2024-04-24,9.0,9.0,9.0,9.0,0
2024-04-25,9.0,9.0,9.0,9.0,0
2024-04-26,9.0,9.0,9.0,9.0,0
2024-04-29,9.0,9.0,9.0,9.0,0
2024-04-30,9.0,9.0,9.0,9.0,0
2024-05-02,9.0,9.0,9.0,9.0,0
2024-05-03,9.0,9.0,9.0,9.0,0
2024-05-06,9.0,9.0,9.0,9.0,0
2024-05-07,9.0,9.0,9.0,9.0,0
2024-05-08,9.0,9.0,9.0,9.0,0
2024-05-09,9.0,9.0,9.0,9.0,0
2024-05-10,9.0,9.0,9.0,9.0,0
2024-05-13,9.0,9.0,9.0,9.0,0
2024-05-14,9.0,9.0,9.0,9.0,0
2024-05-15,9.0,9.0,9.0,9.0,0
2024-05-16,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,100
2024-05-17,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,0
2024-05-20,9.5,9.5,9.5,9.5,100
2024-05-21,9.5,9.5,9.5,9.5,0
2024-05-22,9.5,9.5,9.5,9.5,0
2024-05-23,9.5,9.5,9.5,9.5,0
2024-05-24,9.5,9.5,9.5,9.5,0
2024-05-27,9.5,9.5,9.5,9.5,0
2024-05-28,9.5,9.5,9.5,9.5,0
2024-05-29,9.5,9.5,9.5,9.5,0
2024-05-31,9.5,9.5,9.5,9.5,0
2024-06-03,9.5,9.5,9.5,9.5,0
2024-06-04,9.5,9.5,9.5,9.5,0
2024-06-05,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,100
2024-06-06,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-07,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-10,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-11,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-12,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-13,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-14,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-17,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-18,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-19,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-20,9.390000343322754,9.390000343322754,9.390000343322754,9.390000343322754,0
2024-06-21,9.0,9.0,9.0,9.0,100
2024-06-24,9.0,9.0,9.0,9.0,0
2024-06-25,9.0,9.0,9.0,9.0,0
2024-06-26,9.0,9.0,9.0,9.0,0
2024-06-27,9.0,9.0,9.0,9.0,0
2024-06-28,9.0,9.0,9.0,9.0,0
2024-07-01,9.0,9.0,9.0,9.0,0
2024-07-02,9.0,9.0,9.0,9.0,0
2024-07-03,8.890000343322754,8.890000343322754,8.890000343322754,8.890000343322754,100
2024-07-04,9.5,9.5,9.5,9.5,100
2024-07-05,9.5,9.5,9.5,9.5,0
2024-07-08,9.5,9.5,9.5,9.5,0
2024-07-09,9.5,9.5,9.5,9.5,0
2024-07-10,9.5,9.5,9.5,9.5,0
2024-07-11,9.5,9.5,9.5,9.5,0
2024-07-12,9.5,9.5,9.5,9.5,0
2024-07-15,9.5,9.5,9.5,9.5,0
2024-07-16,9.5,9.5,9.5,9.5,0
2024-07-17,9.5,9.5,9.5,9.5,0
2024-07-18,9.5,9.5,9.5,9.5,0
2024-07-19,9.5,9.5,9.5,9.5,0
2024-07-22,9.5,9.5,9.5,9.5,0
2024-07-23,9.5,9.5,9.5,9.5,0
2024-07-24,9.5,9.5,9.5,9.5,0
2024-07-25,9.5,9.5,9.5,9.5,0
2024-07-26,9.5,9.5,9.5,9.5,0
2024-07-29,9.5,9.5,9.5,9.5,0
2024-07-30,9.5,9.5,9.5,9.5,0
2024-07-31,9.5,9.5,9.5,9.5,0
2024-08-01,9.5,9.5,9.5,9.5,0
2024-08-02,9.5,9.5,9.5,9.5,0
2024-08-05,9.5,9.5,9.5,9.5,0
2024-08-06,9.5,9.5,9.5,9.5,0
2024-08-07,9.5,9.5,9.5,9.5,0
2024-08-08,9.5,9.5,9.5,9.5,0
2024-08-09,9.5,9.5,9.5,9.5,0
2024-08-12,9.600000381469727,9.600000381469727,9.449999809265137,9.449999809265137,200
2024-08-13,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-14,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-15,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-16,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-19,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-20,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-21,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-22,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-23,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-26,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-27,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-28,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-29,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-08-30,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-02,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-03,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-04,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-05,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-06,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-09,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-10,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-11,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-12,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-13,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-16,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-17,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-18,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-19,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-20,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-23,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-24,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0
2024-09-25,10.0,10.0,10.0,10.0,100
2024-09-26,10.0,10.0,10.0,10.0,0
2024-09-27,10.0,10.0,10.0,10.0,0
2024-09-30,10.0,10.0,10.0,10.0,0
2024-10-01,10.0,10.0,10.0,10.0,0
2024-10-02,10.0,10.0,10.0,10.0,0
2024-10-03,10.0,10.0,10.0,10.0,0
2024-10-04,10.0,10.0,10.0,10.0,0
2024-10-07,10.0,10.0,10.0,10.0,0
2024-10-08,10.0,10.0,10.0,10.0,0
2024-10-09,10.0,10.0,10.0,10.0,0
2024-10-10,10.0,10.0,10.0,10.0,0
2024-10-11,10.0,10.0,10.0,10.0,0
2024-10-14,10.0,10.0,10.0,10.0,0
2024-10-15,10.0,10.0,10.0,10.0,0
2024-10-16,10.0,10.0,10.0,10.0,0
2024-10-17,10.0,10.0,10.0,10.0,0
2024-10-18,10.0,10.0,10.0,10.0,0
2024-10-21,10.0,10.0,10.0,10.0,0
2024-10-22,10.0,10.0,10.0,10.0,0
2024-10-23,10.0,10.0,10.0,10.0,0
2024-10-24,10.0,10.0,10.0,10.0,0
2024-10-25,10.0,10.0,10.0,10.0,0
2024-10-28,10.0,10.0,10.0,10.0,0
2024-10-29,10.0,10.0,10.0,10.0,0
2024-10-30,10.0,10.0,10.0,10.0,0
2024-10-31,10.0,10.0,10.0,10.0,0
2024-11-01,10.0,10.0,10.0,10.0,0
2024-11-04,10.0,10.0,10.0,10.0,0
2024-11-05,10.0,10.0,10.0,10.0,0
2024-11-06,10.0,10.0,10.0,10.0,0
2024-11-07,10.0,10.0,10.0,10.0,0
2024-11-08,10.0,10.0,10.0,10.0,0
2024-11-11,10.0,10.0,10.0,10.0,0
2024-11-12,10.0,10.0,10.0,10.0,0
2024-11-13,10.0,10.0,10.0,10.0,0
2024-11-14,10.0,10.0,10.0,10.0,0
2024-11-18,10.0,10.0,10.0,10.0,0
2024-11-19,10.0,10.0,10.0,10.0,0
2024-11-21,9.470000267028809,9.470000267028809,9.470000267028809,9.470000267028809,200
2024-11-22,9.470000267028809,9.470000267028809,9.470000267028809,9.470000267028809,0
2024-11-25,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,100
2024-11-26,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-11-27,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-11-28,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-11-29,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-12-02,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-12-03,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,100
2024-12-04,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-12-05,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-12-06,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-12-09,9.289999961853027,9.289999961853027,9.289999961853027,9.289999961853027,0
2024-12-10,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,100
2024-12-11,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,0
2024-12-12,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,0
2024-12-13,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,0
2024-12-16,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,0
2024-12-17,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,0
2024-12-18,9.479999542236328,9.479999542236328,9.479999542236328,9.479999542236328,0
2024-12-19,10.0,10.0,10.0,10.0,100
2024-12-20,10.0,10.0,10.0,10.0,0
2024-12-23,10.0,10.0,10.0,10.0,0
2024-12-26,10.0,10.0,10.0,10.0,0
2024-12-27,10.0,10.0,10.0,10.0,0
2024-12-30,10.0,10.0,10.0,10.0,0
2025-01-02,10.0,10.0,10.0,10.0,0
2025-01-03,10.0,10.0,10.0,10.0,0
2025-01-06,10.0,10.0,10.0,10.0,0
2025-01-07,10.0,10.0,10.0,10.0,0
2025-01-08,10.0,10.0,10.0,10.0,0
2025-01-09,10.0,10.0,10.0,10.0,0
2025-01-10,10.0,10.0,10.0,10.0,0
2025-01-13,10.0,10.0,10.0,10.0,0
2025-01-14,10.0,10.0,10.0,10.0,0
2025-01-15,10.0,10.0,10.0,10.0,0
2025-01-16,10.0,10.0,10.0,10.0,0
2025-01-17,10.0,10.0,10.0,10.0,0
2025-01-20,10.0,10.0,10.0,10.0,0
2025-01-21,10.0,10.0,10.0,10.0,0
2025-01-22,10.0,10.0,10.0,10.0,0
2025-01-23,10.0,10.0,10.0,10.0,0
2025-01-24,10.0,10.0,10.0,10.0,0
2025-01-27,10.0,10.0,10.0,10.0,0
2025-01-28,10.0,10.0,10.0,10.0,0
2025-01-29,10.0,10.0,10.0,10.0,0
2025-01-30,10.0,10.0,10.0,10.0,0
2025-01-31,10.0,10.0,10.0,10.0,0
2025-02-03,10.0,10.0,10.0,10.0,0
2025-02-04,10.0,10.0,10.0,10.0,0
2025-02-05,10.0,10.0,10.0,10.0,0
2025-02-06,10.0,10.0,10.0,10.0,0
2025-02-07,10.0,10.0,10.0,10.0,0
2025-02-10,10.0,10.0,10.0,10.0,0
2025-02-11,10.0,10.0,10.0,10.0,0
2025-02-12,10.0,10.0,10.0,10.0,0
2025-02-13,10.0,10.0,10.0,10.0,0
2025-02-14,10.0,10.0,10.0,10.0,0
2025-02-17,10.0,10.0,10.0,10.0,0
2025-02-18,10.0,10.0,10.0,10.0,0
2025-02-19,10.0,10.0,10.0,10.0,0
2025-02-20,10.0,10.0,10.0,10.0,0
2025-02-21,10.0,10.0,10.0,10.0,0
2025-02-24,10.0,10.0,10.0,10.0,0
2025-02-25,10.0,10.0,10.0,10.0,0
2025-02-26,10.0,10.0,10.0,10.0,0
2025-02-27,8.5,8.5,8.5,8.5,100
2025-02-28,8.5,8.5,8.5,8.5,0
2025-03-05,8.5,8.5,8.5,8.5,100
2025-03-06,8.5,8.5,8.5,8.5,0
2025-03-07,8.5,8.5,8.5,8.5,0
2025-03-10,8.5,8.5,8.5,8.5,0
2025-03-11,8.5,8.5,8.5,8.5,0
2025-03-12,8.5,8.5,8.5,8.5,0
2025-03-13,8.5,8.5,8.5,8.5,0
2025-03-14,8.5,8.5,8.5,8.5,0
2025-03-17,8.5,8.5,8.5,8.5,0
2025-03-18,8.5,8.5,8.5,8.5,0
2025-03-19,8.5,8.5,8.5,8.5,0
2025-03-20,8.5,8.5,8.5,8.5,0
2025-03-21,8.5,8.5,8.5,8.5,0
2025-03-24,8.5,8.5,8.5,8.5,0
2025-03-25,8.5,8.5,8.5,8.5,0
2025-03-26,8.5,8.5,8.5,8.5,0
2025-03-27,8.5,8.5,8.5,8.5,0
2025-03-28,8.5,8.5,8.5,8.5,0
2025-03-31,8.5,8.5,8.5,8.5,0
2025-04-01,8.5,8.5,8.5,8.5,0
2025-04-02,8.5,8.5,8.5,8.5,0
2025-04-03,8.5,8.5,8.5,8.5,0
2025-04-04,8.5,8.5,8.5,8.5,0
2025-04-07,8.5,8.5,8.5,8.5,0
2025-04-08,8.5,8.5,8.5,8.5,0
2025-04-09,8.5,8.5,8.5,8.5,0
2025-04-10,8.5,8.5,8.5,8.5,0
2025-04-11,8.5,8.5,8.5,8.5,0
