Price,Close,High,Low,Open,Volume
Ticker,USIM6.SA,USIM6.SA,USIM6.SA,USIM6.SA,USIM6.SA
Date,,,,,
2024-04-11,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-12,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-15,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-16,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-17,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-18,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-19,14.706777572631836,14.706777572631836,14.706777572631836,14.706777572631836,0
2024-04-22,14.216551780700684,14.216551780700684,14.216551780700684,14.216551780700684,100
2024-04-23,14.196942329406738,14.216551815208472,14.196942329406738,14.216551815208472,500
2024-04-24,14.196942329406738,14.196942329406738,14.196942329406738,14.196942329406738,0
2024-04-25,14.196942329406738,14.196942329406738,14.196942329406738,14.196942329406738,0
2024-04-26,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-04-29,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-04-30,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-02,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-03,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-06,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-07,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-08,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-09,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-10,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-13,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-14,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-15,14.479999542236328,14.479999542236328,14.479999542236328,14.479999542236328,0
2024-05-16,14.0,14.289999961853027,14.0,14.289999961853027,200
2024-05-17,14.0,14.0,14.0,14.0,0
2024-05-20,14.0,14.0,14.0,14.0,0
2024-05-21,14.0,14.0,14.0,14.0,0
2024-05-22,14.0,14.0,14.0,14.0,0
2024-05-23,14.0,14.0,14.0,14.0,0
2024-05-24,14.0,14.0,14.0,14.0,0
2024-05-27,14.0,14.0,14.0,14.0,0
2024-05-28,14.0,14.0,14.0,14.0,0
2024-05-29,14.0,14.0,14.0,14.0,0
2024-05-31,14.0,14.0,14.0,14.0,0
2024-06-03,14.0,14.0,14.0,14.0,0
2024-06-04,14.0,14.0,14.0,14.0,0
2024-06-05,14.0,14.0,14.0,14.0,0
2024-06-06,14.0,14.0,14.0,14.0,0
2024-06-07,14.0,14.0,14.0,14.0,0
2024-06-10,14.0,14.0,14.0,14.0,0
2024-06-11,14.0,14.0,14.0,14.0,0
2024-06-12,14.0,14.0,14.0,14.0,0
2024-06-13,14.0,14.0,14.0,14.0,0
2024-06-14,14.0,14.0,14.0,14.0,0
2024-06-17,14.0,14.0,14.0,14.0,0
2024-06-18,14.0,14.0,14.0,14.0,0
2024-06-19,14.0,14.0,14.0,14.0,0
2024-06-20,14.0,14.0,14.0,14.0,0
2024-06-21,14.0,14.0,14.0,14.0,0
2024-06-24,14.0,14.0,14.0,14.0,0
2024-06-25,14.0,14.0,14.0,14.0,0
2024-06-26,14.0,14.0,14.0,14.0,0
2024-06-27,14.0,14.0,14.0,14.0,0
2024-06-28,14.0,14.0,14.0,14.0,0
2024-07-01,14.0,14.0,14.0,14.0,0
2024-07-02,14.0,14.0,14.0,14.0,0
2024-07-03,14.0,14.0,14.0,14.0,0
2024-07-04,14.0,14.0,14.0,14.0,0
2024-07-05,14.0,14.0,14.0,14.0,0
2024-07-08,14.0,14.0,14.0,14.0,0
2024-07-09,14.0,14.0,14.0,14.0,0
2024-07-10,14.0,14.0,14.0,14.0,0
2024-07-11,14.0,14.0,14.0,14.0,0
2024-07-12,14.0,14.0,14.0,14.0,0
2024-07-15,14.0,14.0,14.0,14.0,0
2024-07-16,14.0,14.0,14.0,14.0,0
2024-07-17,14.0,14.0,14.0,14.0,0
2024-07-18,14.0,14.0,14.0,14.0,0
2024-07-19,14.0,14.0,14.0,14.0,0
